index,PAYNSA
2015-01-01,138491
2015-02-01,139323
2015-03-01,140080
2015-04-01,141264
2015-05-01,142205
2015-06-01,142681
2015-07-01,141729
2015-08-01,141921
2015-09-01,142477
2015-10-01,143626
2015-11-01,144049
2015-12-01,144045
2016-01-01,141072
2016-02-01,141901
2016-03-01,142797
2016-04-01,143893
2016-05-01,144540
2016-06-01,145205
2016-07-01,144232
2016-08-01,144485
2016-09-01,145150
2016-10-01,146032
2016-11-01,146465
2016-12-01,146252
2017-01-01,143376
2017-02-01,144405
2017-03-01,145062
2017-04-01,146086
2017-05-01,146924
2017-06-01,147566
2017-07-01,146464
2017-08-01,146782
2017-09-01,147169
2017-10-01,148182
2017-11-01,148758
2017-12-01,148509
2018-01-01,145412
2018-02-01,146649
2018-03-01,147352
2018-04-01,148329
2018-05-01,149264
2018-06-01,149930
2018-07-01,148767
2018-08-01,149236
2018-09-01,149545
2018-10-01,150553
2018-11-01,151032
2018-12-01,150831
2019-01-01,147878
2019-02-01,148683
2019-03-01,149360
2019-04-01,150422
2019-05-01,151093
2019-06-01,151714
2019-07-01,150658
2019-08-01,151094
2019-09-01,151510
2019-10-01,152500
2019-11-01,153095
2019-12-01,152845
2020-01-01,150056
2020-02-01,150967
2020-03-01,149952
2020-04-01,130253
2020-05-01,133422
2020-06-01,138507
2020-07-01,139105
2020-08-01,140727
2020-09-01,141957
2020-10-01,143564
2020-11-01,144116
2020-12-01,143604
2021-01-01,140974
2021-02-01,142129
2021-03-01,143308
2021-04-01,144402
2021-05-01,145392
2021-06-01,146626
2021-07-01,146619
2021-08-01,147159
2021-09-01,147917
2021-10-01,149605
2021-11-01,150543
2021-12-01,150740
2022-01-01,147932
2022-02-01,149606
2022-03-01,150411
2022-04-01,151434
2022-05-01,152264
2022-06-01,153175
2022-07-01,152813
2022-08-01,153208
2022-09-01,153730
2022-10-01,154936
2022-11-01,155519
2022-12-01,155211
2023-01-01,152688
2023-02-01,153817
2023-03-01,154253
2023-04-01,155201
2023-05-01,156132
2023-06-01,156842
2023-07-01,155981
2023-08-01,156355
2023-09-01,156845
2023-10-01,157878
2023-11-01,158347
2023-12-01,158269
2024-01-01,155432
2024-02-01,156551
2024-03-01,157210
2024-04-01,158001
2024-05-01,158845
2024-06-01,159392
2024-07-01,158399
2024-08-01,158717
2024-09-01,159177
