"Work stoppages in Canada, by jurisdiction and industry based on the North American Industry Classification System (NAICS), Employment and Social Development Canada - Labour Program 1 2 3"
"Frequency: Monthly"
"Table: 14-10-0350-01 (formerly CANSIM 278-0013)"
"Release date: 2024-05-10"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Geography 4","Canada",,,,,,,,,,,,,,,,,,,
"Industry","All industries",,,,"Manufacturing",,,,"Wholesale and retail trade 5",,,,"Transportation 6",,,,"Entertainment and hospitality 7",,,
"February 2001","67","9,002","13.6","116,790","23","2,907","16.2","49,820","9","589","13.4","8,990","4","2,031","8.0","18,240","9","589","14.1","6,790"
"March 2001","79","16,581","14.4","185,630","26","4,043","16.8","51,820","6","534","14.8","5,290","4","2,211","15.0","46,970","7","345","16.4","4,890"
"April 2001","121","52,808","13.5","505,570","28","3,675","18.2","63,990","12","730","11.3","5,580","8","6,560","13.3","80,130","13","2,345","10.6","7,200"
"May 2001","103","39,319","15.2","270,395","37","4,491","15.1","64,220","9","403","16.8","5,130","5","3,918","13.6","62,390","13","557","13.0","7,175"
"June 2001","107","45,019","12.7","261,160","42","6,600","14.1","68,400","12","587","13.8","8,450","6","3,715","9.0","59,730","6","321","14.7","4,920"
"July 2001","92","19,199","13.7","177,755","41","4,130","14.7","63,800","12","631","10.4","6,500","7","3,653","14.3","60,440","7","622","16.4","8,555"
"August 2001","75","78,348","14.9","208,015","32","3,404","16.7","43,590","8","383","15.0","4,840","5","111","16.0","1,650","10","698","16.3","12,115"
"September 2001","62","23,025","14.3","110,150","29","1,880","14.4","26,910","7","356","13.9","4,140","5","90","10.6","1,410","8","694","15.8","6,030"
"October 2001","66","7,716","15.1","80,340","24","1,172","15.7","16,790","10","1,174","12.6","11,060","4","101","22.0","2,220","9","371","18.6","5,880"
"November 2001","60","12,298","14.4","74,385","20","1,053","17.7","19,980","8","1,002","15.4","11,150","7","201","10.0","1,430","8","393","11.3","3,315"
"December 2001","60","8,871","15.7","102,510","24","4,785","15.3","43,940","10","822","15.2","10,960","9","651","16.3","4,240","6","258","15.0","3,340"
"January 2002","63","43,981","15.3","120,790","26","4,990","15.9","48,320","7","786","16.0","10,440","12","777","14.4","5,100","7","268","16.7","3,370"
"February 2002","56","25,174","15.9","255,260","20","1,346","16.5","21,480","4","621","20.0","8,790","11","235","19.1","4,450","3","167","13.7","590"
"March 2002","56","38,615","16.0","439,050","18","1,718","15.6","23,550","7","2,681","14.4","13,310","10","227","20.3","4,560","5","92","16.0","1,290"
"April 2002","56","45,563","16.2","776,055","20","10,152","16.6","132,060","6","2,763","18.7","18,250","8","186","20.1","3,800","6","170","17.2","2,935"
"May 2002","79","46,135","13.4","237,325","26","10,620","13.3","53,850","9","1,125","11.0","10,210","8","186","14.3","2,100","9","334","12.3","2,955"
"June 2002","65","13,668","15.0","131,330","24","3,268","14.7","39,590","5","644","11.4","2,430","5","461","16.2","930","6","220","17.2","4,370"
"July 2002","77","29,672","12.8","248,940","18","2,097","16.1","34,410","1","3","21.0","60","4","31","21.0","660","23","2,633","6.0","6,420"
"August 2002","63","11,631","14.2","150,718","17","1,898","18.0","35,150","9","3,901","3.3","23,770","6","581","16.3","3,450","11","1,048","9.9","4,278"
"September 2002","66","16,035","14.4","163,460","20","2,417","15.4","35,220","11","3,153","6.0","6,210","7","696","15.6","9,400","6","257","17.8","3,130"
"October 2002","80","14,890","15.7","193,020","26","2,509","15.0","42,930","11","556","14.3","8,130","8","791","17.5","14,570","6","180","16.2","2,460"
"November 2002","72","9,759","14.2","141,352","24","2,686","15.3","41,550","11","873","8.5","8,340","6","581","19.2","11,400","5","373","12.4","1,432"
"December 2002","57","8,420","16.2","128,640","24","3,124","15.5","47,000","7","1,525","14.0","22,530","6","581","18.7","7,160","3","148","12.7","660"
"January 2003","56","9,354","16.6","138,670","24","3,533","17.8","53,040","5","1,448","15.2","26,200","5","81","19.6","1,970","3","1,156","15.3","4,000"
"February 2003","49","15,604","14.2","137,780","24","3,855","15.6","48,960","3","975","16.0","18,560","1","64","2.0","120","3","52","16.0","770"
"March 2003","62","14,906","13.6","198,247","24","3,607","15.3","45,260","6","1,443","13.0","21,420","2","163","13.0","2,140","5","270","10.8","2,550"
"April 2003","67","11,383","14.2","168,140","27","2,613","14.7","36,970","9","1,619","13.0","26,780","2","115","19.0","2,250","6","351","9.8","2,990"
"May 2003","60","19,902","13.8","165,555","25","5,882","13.7","44,250","5","1,399","14.6","23,040","3","475","16.3","4,350","3","155","10.7","2,180"
"June 2003","63","17,583","13.5","183,250","26","10,651","16.1","128,160","4","1,037","16.8","20,090","6","806","10.3","11,240","4","219","7.5","1,340"
"July 2003","60","9,349","15.0","169,470","25","6,485","16.8","128,960","3","977","22.0","21,620","4","644","17.8","9,740","6","414","5.8","1,710"
"August 2003","51","13,619","15.7","151,530","23","6,846","16.6","114,300","6","5,792","13.3","25,790","3","236","7.0","1,420","5","420","13.4","5,670"
"September 2003","64","10,195","15.3","95,460","24","3,111","15.0","42,420","10","1,352","12.6","22,400","2","41","16.5","570","7","445","16.9","8,210"
"October 2003","62","5,572","16.6","79,050","21","1,927","15.9","30,430","5","303","22.0","6,710","5","513","7.0","1,580","8","615","16.1","9,090"
"November 2003","53","10,681","15.6","128,020","14","7,330","16.1","86,330","10","2,061","16.2","24,320","2","104","5.0","530","8","567","9.9","5,260"
"December 2003","52","17,100","16.8","115,320","14","6,390","16.6","54,780","11","2,198","14.2","13,390","1","3,412","4.0","22,890","8","559","17.1","9,240"
"January 2004","50","8,450","15.8","45,490","10","718","15.3","12,020","5","303","21.6","6,540","3","120","7.3","780","12","1,293","13.8","13,820"
"February 2004","63","11,087","12.9","105,070","13","1,159","13.0","14,770","4","225","21.0","4,660","4","5,915","7.5","41,090","14","1,002","11.4","15,360"
"March 2004","67","12,162","13.2","131,115","16","1,147","14.6","15,660","6","253","14.7","3,850","4","5,947","15.8","82,360","13","1,059","11.5","14,670"
"April 2004","71","71,381","12.8","673,370","27","2,182","12.6","24,540","5","503","8.8","4,010","5","815","13.0","6,150","12","4,502","14.3","79,120"
"May 2004","72","55,746","15.3","301,890","33","3,229","15.1","43,430","5","733","12.4","4,920","1","52","22.0","380","8","4,109","19.9","43,520"
"June 2004","74","13,578","15.1","203,400","31","3,943","16.3","67,190","3","129","15.7","1,080","3","235","5.7","1,800","9","633","14.3","10,080"
"July 2004","83","15,557","16.0","221,580","33","5,344","16.1","85,080","7","393","9.6","1,820","4","545","10.5","3,810","9","469","18.0","8,720"
"August 2004","90","20,980","16.3","312,990","32","5,054","15.6","80,530","11","806","16.3","13,090","4","545","13.0","8,180","10","1,166","15.6","15,150"
"September 2004","78","54,136","15.8","405,460","24","3,387","17.0","63,380","11","890","16.7","16,130","2","314","20.0","6,080","10","486","17.9","9,560"
"October 2004","76","140,017","13.5","522,230","23","3,779","15.1","63,000","12","1,312","13.0","16,250","3","1,054","7.7","3,830","10","542","13.5","6,350"
"November 2004","64","15,337","14.5","135,830","24","4,109","14.4","50,650","10","4,771","17.1","57,840","4","4,752","2.3","9,630","8","498","13.1","3,540"
"December 2004","50","10,457","14.8","126,740","14","1,966","15.6","17,120","9","4,295","17.1","92,620","2","3,303","12.0","7,680","9","381","16.8","4,970"
"January 2005","44","7,028","16.2","129,000","14","1,187","18.8","21,770","7","3,148","23.9","96,870","..","..","..","..","7","193","19.1","3,350"
"February 2005","51","22,741","12.1","82,210","15","1,474","17.3","24,340","8","3,446","18.0","38,920","..","..","..","..","6","363","14.8","3,390"
"March 2005","51","9,144","14.8","60,800","21","2,229","15.9","29,330","8","571","19.6","12,650","2","295","19.0","5,210","3","84","25.0","1,870"
"April 2005","67","65,675","12.9","267,290","20","1,825","17.8","34,390","7","527","18.9","10,630","4","356","10.8","5,890","4","88","20.3","1,840"
"May 2005","61","56,283","13.0","265,840","16","1,601","15.9","29,080","7","527","17.6","4,780","3","1,228","17.3","18,250","4","141","21.5","2,500"
"June 2005","56","17,197","12.9","192,490","13","1,514","17.3","26,610","6","180","20.5","4,120","1","232","21.0","4,970","6","521","20.2","10,980"
"July 2005","76","23,478","10.0","211,180","14","1,428","17.4","27,140","7","192","16.4","4,090","1","232","17.0","3,980","23","2,106","6.4","9,020"
"August 2005","70","38,365","10.8","485,310","13","2,038","18.2","25,820","7","259","14.7","4,010","..","..","..","..","6","327","19.3","6,740"
"September 2005","93","40,101","10.0","572,690","20","3,117","14.6","32,930","9","366","17.0","5,560","6","190","3.5","470","10","959","13.9","10,680"
"October 2005","90","70,840","11.0","885,410","19","4,702","17.5","72,440","8","1,512","17.0","14,540","8","112","4.3","330","11","872","17.3","17,620"
"November 2005","86","75,100","10.2","522,420","17","3,882","15.5","29,990","11","1,561","17.3","28,490","5","40","4.4","880","10","828","13.4","8,160"
"December 2005","73","73,177","9.6","472,940","16","1,324","16.2","20,230","9","1,444","12.4","9,960","5","164","1.2","200","8","1,431","15.8","21,040"
"January 2006","37","4,182","16.1","37,910","15","1,744","17.1","18,400","4","159","17.8","2,500","3","304","17.3","4,920","5","1,267","19.6","8,360"
"February 2006","34","4,394","15.9","44,940","12","1,220","17.9","21,870","3","140","20.0","2,810","3","304","14.3","5,030","4","189","16.8","4,070"
"March 2006","48","13,925","13.9","190,627","21","3,828","13.8","51,927","6","286","12.7","3,540","6","354","8.5","2,000","6","228","15.3","3,710"
"April 2006","44","5,035","16.4","73,500","16","2,177","17.3","38,370","5","197","19.4","4,510","3","306","13.7","2,770","6","418","18.5","6,230"
"May 2006","51","15,321","15.9","103,540","19","2,240","14.4","30,270","5","420","20.4","5,790","3","8,778","15.3","11,940","6","418","20.0","9,100"
"June 2006","46","7,338","15.8","72,050","18","2,684","16.8","35,310","4","190","23.5","4,510","2","250","7.0","920","7","1,151","16.6","7,690"
"July 2006","40","4,002","16.1","51,796","17","1,462","15.4","20,626","4","190","23.3","4,570","2","78","13.5","560","6","823","14.2","3,890"
"August 2006","33","1,844","18.6","34,560","14","903","17.9","16,220","5","225","18.4","4,100","2","78","12.0","370","5","105","18.8","2,160"
"September 2006","29","2,185","17.2","34,830","16","1,310","16.1","19,010","4","164","15.5","2,260","..","..","..","..","5","404","17.8","6,680"
"October 2006","35","3,997","16.9","50,340","18","2,781","16.3","28,400","5","208","13.4","2,910","2","295","24.0","5,160","5","433","17.0","8,490"
"November 2006","36","3,096","17.4","48,610","17","1,731","18.5","31,140","4","356","12.8","3,040","1","8","21.0","170","6","656","16.5","9,290"
"December 2006","34","3,483","16.3","50,220","17","1,746","17.2","29,040","3","284","10.7","2,710","1","8","10.0","80","4","381","15.0","7,820"
"January 2007","34","3,592","18.2","61,550","15","1,059","19.9","21,390","1","35","22.0","780","1","12","1.0","10","6","432","15.0","8,320"
"February 2007","44","8,205","14.5","77,880","14","1,062","16.8","17,030","1","35","20.0","700","7","2,751","10.4","30,220","6","478","15.3","7,950"
"March 2007","48","8,529","13.8","84,140","13","1,160","19.0","17,700","1","35","11.0","200","5","387","19.6","5,140","11","1,256","8.0","8,650"
"April 2007","49","8,931","11.8","59,832","13","1,138","14.6","11,570","..","..","..","..","8","806","12.9","9,620","8","559","17.6","9,190"
"May 2007","54","14,841","12.3","144,360","14","952","14.0","10,760","..","..","..","..","10","6,589","6.1","47,810","9","731","17.3","13,970"
"June 2007","65","20,093","12.0","238,190","17","2,234","13.0","21,680","1","160","2.0","230","7","3,544","14.4","30,240","8","711","15.6","12,060"
"July 2007","57","17,244","15.8","166,440","12","7,715","17.6","71,980","..","..","..","..","7","605","17.4","11,720","8","718","15.6","8,290"
"August 2007","60","17,211","15.6","323,220","15","7,626","17.0","164,370","2","345","9.5","2,990","9","704","21.2","15,090","6","311","20.0","5,800"
"September 2007","54","16,427","14.1","291,885","13","7,424","17.8","156,885","2","345","13.0","2,980","9","639","9.6","4,970","7","1,068","11.3","7,110"
"October 2007","45","14,985","14.7","196,550","15","7,515","16.8","118,360","4","176","16.5","3,440","3","156","15.3","2,030","5","259","7.8","2,290"
"November 2007","33","5,494","15.8","88,550","12","1,627","17.5","20,070","5","211","18.0","4,080","2","85","12.5","1,180","2","189","10.5","1,220"
"December 2007","33","4,847","15.7","38,110","11","1,027","19.5","20,220","7","254","15.3","4,230","1","50","7.0","350","3","283","16.3","3,530"
"January 2008","28","2,926","18.4","42,730","10","939","22.0","20,540","4","149","23.0","3,670","..","..","..","..","1","59","22.0","1,220"
"February 2008","33","3,480","16.2","46,940","14","1,250","15.6","18,580","5","159","13.4","3,060","..","..","..","..","1","59","21.0","1,210"
"March 2008","40","3,492","15.0","48,110","16","1,160","16.0","17,020","5","422","16.6","3,600","..","..","..","..","4","134","6.8","980"
"April 2008","44","14,222","14.9","51,030","17","1,381","18.6","20,380","6","460","13.7","3,850","3","9,491","2.0","13,560","3","71","17.7","1,460"
"May 2008","40","3,949","15.6","35,400","19","1,614","16.4","20,620","5","251","12.4","2,970","..","..","..","..","2","63","22.0","1,390"
"June 2008","47","9,057","15.5","67,390","20","1,746","18.2","27,060","6","347","14.2","5,170","1","29","1.0","20","6","985","18.8","15,610"
"July 2008","60","6,032","14.5","77,660","23","2,282","17.1","35,950","2","88","20.0","1,630","1","157","19.0","2,980","23","2,837","11.0","27,460"
"August 2008","57","5,678","12.7","62,850","24","2,370","17.1","40,330","1","12","20.0","240","1","157","20.0","3,140","21","2,786","6.5","13,820"
"September 2008","51","5,475","14.4","75,360","28","2,740","14.5","36,540","1","42","5.0","210","4","358","8.0","3,150","7","907","21.0","21,920"
"October 2008","62","8,023","13.5","103,150","22","2,169","16.6","36,910","19","907","8.1","9,340","3","201","17.3","1,910","7","907","22.0","22,670"
"November 2008","53","9,608","16.4","117,330","16","1,556","17.0","24,800","18","943","19.2","23,180","4","2,145","9.5","21,430","8","959","17.8","15,210"
"December 2008","46","10,119","18.1","147,490","13","1,025","18.6","16,890","16","760","20.1","20,510","3","4,418","17.7","68,630","7","399","19.3","10,400"
"January 2009","41","7,889","19.3","129,040","10","586","21.6","12,340","14","646","21.8","19,100","2","2,318","19.0","50,830","6","347","22.0","10,270"
"February 2009","39","3,184","18.4","48,720","10","586","19.5","11,210","13","579","20.2","16,060","..","..","..","..","7","353","19.7","9,390"
"March 2009","47","4,524","14.1","52,570","13","860","18.5","13,930","14","603","7.3","5,610","2","138","6.0","430","9","1,120","18.9","11,400"
"April 2009","43","8,824","15.8","94,870","14","1,696","18.5","33,510","3","73","14.3","900","5","511","12.6","7,880","9","534","16.0","10,710"
"May 2009","41","5,578","16.9","96,160","19","2,508","15.7","36,850","4","102","17.0","1,570","2","323","22.0","7,070","6","482","19.7","10,100"
"June 2009","51","32,884","15.4","261,890","21","2,644","17.7","50,070","5","249","10.0","1,400","2","323","17.5","6,710","7","332","19.0","8,690"
"July 2009","52","35,850","18.6","601,160","18","4,746","20.2","76,890","9","715","15.8","13,210","3","720","5.3","4,260","6","311","22.0","8,940"
"August 2009","50","14,490","17.0","153,380","20","5,673","16.6","111,180","8","638","17.1","10,410","..","..","..","..","7","376","18.3","8,940"
"September 2009","50","9,025","16.2","161,520","21","6,085","17.9","118,370","8","801","14.4","10,790","..","..","..","..","6","742","13.3","9,760"
"October 2009","53","18,538","17.6","198,810","22","6,575","20.5","136,500","4","375","16.8","2,600","1","440","5.0","2,200","7","836","16.4","17,100"
"November 2009","46","11,272","17.8","183,980","20","6,339","20.4","132,360","4","101","16.8","2,060","3","2,325","12.3","14,960","4","618","21.0","12,770"
"December 2009","47","10,482","17.6","180,400","22","6,344","20.5","132,860","6","84","10.3","1,310","3","2,325","11.7","18,100","5","630","17.4","9,170"
"January 2010","44","9,106","16.3","125,524","22","6,080","17.7","108,615","6","89","17.7","1,717","..","..","..","..","4","205","16.3","4,040"
"February 2010","43","9,397","16.6","127,769","18","5,021","18.8","96,050","6","89","18.8","1,750","1","6","9.0","50","6","808","12.2","6,260"
"March 2010","45","9,029","17.4","182,160","17","4,884","22.2","108,650","6","89","19.7","1,460","1","6","5.0","30","8","673","10.4","4,850"
"April 2010","43","9,362","16.2","143,300","22","5,293","17.3","99,840","5","344","19.0","9,130","1","452","21.0","7,480","4","225","13.0","2,690"
"May 2010","43","6,518","16.1","122,100","20","4,220","18.4","85,370","4","329","22.8","9,850","1","452","20.0","7,100","3","104","14.0","2,010"
"June 2010","61","35,507","12.0","146,080","15","3,802","18.8","78,230","7","559","11.9","7,450","1","452","22.0","7,860","10","957","12.2","11,880"
"July 2010","44","7,243","16.9","80,620","16","4,072","17.9","41,250","6","278","20.3","6,120","3","1,303","11.7","11,820","10","1,136","14.2","12,680"
"August 2010","45","3,113","17.0","55,170","17","1,249","17.2","20,750","7","348","19.3","7,560","2","473","15.0","7,670","7","336","17.0","6,050"
"September 2010","53","3,716","14.6","52,600","18","1,008","18.9","19,690","6","146","21.0","3,530","2","476","12.5","7,580","16","1,251","7.2","6,840"
"October 2010","50","3,801","17.1","56,770","19","1,228","18.5","23,320","8","258","18.3","4,340","2","476","15.0","7,340","8","799","15.0","7,550"
"November 2010","50","4,157","15.8","58,700","21","2,020","15.0","29,190","7","170","16.7","2,850","2","552","17.0","7,230","8","754","18.9","8,310"
"December 2010","40","2,857","18.5","51,690","17","1,451","18.1","27,770","6","125","20.3","2,420","2","242","22.0","5,340","6","243","22.8","5,910"
"January 2011","39","3,487","17.5","51,694","16","1,397","16.4","25,845","5","118","22.4","2,650","3","240","15.3","4,960","7","396","18.7","7,019"
"February 2011","41","4,959","17.0","76,825","15","1,439","17.7","25,370","6","125","18.2","2,550","4","636","10.3","7,570","5","236","19.8","5,100"
"March 2011","42","4,465","17.0","78,205","17","1,685","17.9","30,420","6","125","20.7","2,870","3","599","10.0","4,860","4","171","20.3","3,900"
"April 2011","42","4,453","16.0","59,175","16","1,850","16.9","32,750","6","158","21.7","3,370","3","326","9.3","3,400","5","273","19.6","6,590"
"May 2011","34","16,625","17.9","82,940","13","1,561","19.8","32,210","6","500","18.8","3,040","2","232","6.0","1,210","5","273","23.4","7,810"
"June 2011","37","56,170","14.8","473,800","15","2,328","16.6","31,220","4","112","19.0","2,180","3","51,909","10.0","430,290","6","297","16.3","5,510"
"July 2011","37","5,428","12.8","49,000","13","1,987","16.8","37,250","4","175","15.8","2,040","2","249","15.0","3,580","4","125","8.3","1,350"
"August 2011","34","4,891","14.3","45,940","12","1,894","16.5","24,320","4","190","11.3","1,980","4","282","13.5","5,610","2","51","11.0","1,220"
"September 2011","38","12,444","13.6","182,500","7","908","21.0","18,870","6","275","5.3","1,370","3","260","10.3","2,920","5","169","11.4","2,970"
"October 2011","43","5,510","14.8","98,060","11","1,085","15.8","13,470","6","270","18.0","4,660","5","713","8.4","5,560","5","198","12.2","2,650"
"November 2011","40","4,941","17.2","103,167","10","547","15.9","6,120","5","214","19.8","4,150","6","761","16.8","14,300","4","134","17.3","1,830"
"December 2011","38","4,437","15.8","49,290","10","466","18.4","8,930","4","127","19.3","2,450","6","714","20.2","14,520","3","55","16.0","1,370"
"January 2012","34","2,804","15.1","50,090","13","1,672","14.3","29,610","4","186","15.8","3,260","6","714","17.8","13,700","4","90","13.0","1,350"
"February 2012","30","4,914","16.2","59,655","9","1,349","17.9","25,430","4","173","18.8","4,280","7","1,314","13.4","17,435","3","56","15.3","840"
"March 2012","35","47,431","15.5","181,365","12","1,109","16.9","21,820","4","173","20.3","4,340","5","1,052","15.6","9,585","4","169","15.3","870"
"April 2012","37","2,847","13.7","39,485","12","1,656","16.4","25,930","4","78","11.8","1,100","3","184","20.7","3,810","2","15","20.0","240"
"May 2012","66","9,588","10.0","85,380","15","2,103","16.0","28,560","3","55","17.3","970","4","4,545","14.5","33,690","4","68","12.8","720"
"June 2012","64","9,501","10.2","69,929","12","1,598","16.3","20,810","3","45","20.3","940","6","4,646","11.2","7,730","1","25","21.0","530"
"July 2012","43","4,990","15.0","79,520","11","1,094","15.8","16,060","3","45","21.0","950","4","226","16.0","4,240","4","313","9.3","2,400"
"August 2012","40","5,306","15.2","76,241","7","456","19.9","6,650","3","51","17.7","870","4","954","20.8","14,530","8","781","10.5","11,200"
"September 2012","43","7,398","12.7","71,045","7","456","19.0","8,660","3","135","17.3","2,485","5","1,040","13.4","11,480","10","984","8.0","7,960"
"October 2012","43","5,846","13.4","42,890","11","1,038","14.6","10,510","3","135","22.0","3,290","3","177","18.0","3,700","7","511","14.4","8,070"
"November 2012","53","10,204","10.1","60,140","10","1,412","14.6","14,560","3","135","21.3","3,250","2","161","21.0","3,380","5","436","19.4","10,760"
"December 2012","100","61,457","4.4","88,277","6","530","16.2","4,880","4","156","14.0","3,400","1","86","19.0","1,630","4","310","19.0","8,265"
"January 2013","35","2,823","13.1","32,716","5","200","22.0","4,400","3","151","22.0","3,840","3","221","13.0","2,380","5","937","16.0","9,790"
"February 2013","38","2,744","12.6","33,521","5","200","20.2","4,010","8","564","12.1","6,295","2","110","20.0","2,200","5","289","17.2","6,660"
"March 2013","61","2,302","18.0","34,851","7","281","15.4","4,261","38","876","18.8","12,460","2","110","20.5","2,220","4","248","22.3","6,250"
"April 2013","65","2,712","19.0","35,747","10","1,179","14.8","7,430","37","501","22.3","11,380","2","110","21.5","2,390","5","254","18.4","6,125"
"May 2013","68","10,127","19.6","131,470","10","1,385","21.4","27,400","38","851","22.3","16,770","2","110","22.0","2,420","5","216","15.0","5,080"
"June 2013","81","182,966","16.2","780,515","14","2,681","14.8","31,810","39","908","19.9","19,070","2","110","18.0","2,100","6","300","13.8","5,220"
"July 2013","70","5,591","21.1","97,500","12","2,432","20.8","44,000","39","908","22.7","21,000","2","126","19.0","2,260","6","325","18.3","6,090"
"August 2013","66","3,703","21.2","77,230","11","1,795","21.7","36,580","39","908","22.7","21,000","2","57","1.5","70","5","280","18.6","5,980"
"September 2013","72","4,635","18.2","67,470","15","2,319","17.1","27,810","40","938","20.7","19,870","1","17","7.0","120","4","193","11.8","4,690"
"October 2013","71","13,140","20.0","93,140","13","1,571","20.1","26,860","43","9,869","21.3","48,280","..","..","..","..","4","174","24.0","5,000"
"November 2013","64","2,903","21.4","59,590","12","1,203","20.3","22,280","42","1,125","21.5","24,300","..","..","..","..","4","174","23.3","4,850"
"December 2013","66","5,083","19.8","55,200","11","1,145","18.5","15,120","40","938","21.7","21,100","..","..","..","..","5","774","18.0","4,660"
"January 2014","60","3,027","21.3","46,940","10","745","20.5","11,960","40","911","22.3","21,020","1","16","16.0","250","2","15","26.0","220"
"February 2014","59","1,871","19.5","33,040","10","600","16.8","9,010","40","911","20.6","19,140","1","16","28.0","440","2","15","12.0","120"
"March 2014","57","2,098","20.4","33,120","9","499","17.9","8,800","40","911","21.8","20,310","1","22","5.0","80","..","..","..",".."
"April 2014","57","2,524","19.1","32,770","8","475","21.8","9,940","41","955","20.6","19,980","2","75","2.5","170","..","..","..",".."
"May 2014","64","44,951","19.3","80,140","12","1,123","16.2","11,360","41","955","22.0","21,660","2","75","11.5","1,290","1","15","17.0","260"
"June 2014","64","45,872","18.8","561,230","10","439","17.1","7,490","42","995","20.2","20,780","3","520","16.7","9,860","1","15","30.0","450"
"July 2014","62","47,506","21.0","66,960","8","1,145","22.1","18,280","40","952","22.9","22,350","4","709","18.3","12,890","3","801","11.0","1,260"
"August 2014","61","46,347","20.6","60,990","9","1,434","18.8","24,690","40","952","22.2","21,940","3","699","13.3","8,550","1","15","31.0","470"
"September 2014","74","49,426","18.1","654,830","9","1,315","17.8","13,780","41","984","20.5","20,670","3","435","10.7","4,140","1","15","30.0","450"
"October 2014","71","3,208","21.1","56,680","8","329","21.1","6,850","41","984","22.5","20,600","2","410","17.5","5,770","3","514","17.7","4,410"
"November 2014","82","13,157","14.9","39,440","9","967","17.9","7,320","40","681","20.5","13,670","1","60","20.0","1,200","2","144","16.5","840"
"December 2014","57","12,673","21.3","45,190","9","1,823","19.0","14,290","38","558","22.7","13,300","1","60","22.0","1,320","2","144","24.5","2,780"
"January 2015","67","4,390","17.8","30,220","9","562","17.8","6,260","38","558","22.7","13,300","3","236","16.0","4,250","1","15","21.0","320"
"February 2015","72","12,555","17.1","60,140","7","282","20.7","5,450","38","558","19.5","10,350","3","3,988","11.0","10,700","1","15","0.0","0"
"March 2015","73","12,495","18.2","127,500","11","1,424","16.6","15,390","36","480","22.3","10,870","2","139","22.5","3,070","1","15","6.0","80"
"April 2015","71","7,408","17.3","58,180","10","1,316","18.2","9,940","36","480","20.3","9,920","3","153","14.7","2,840","2","40","11.5","410"
"May 2015","73","10,658","18.3","127,190","9","710","19.6","8,640","37","686","20.1","13,080","3","153","14.0","680","2","40","12.0","550"
"June 2015","68","3,221","20.3","59,460","12","848","17.8","11,120","36","480","21.2","10,400","2","84","28.0","1,730","1","24","22.0","530"
"July 2015","71","6,594","20.4","72,498","10","430","20.0","8,726","38","3,876","21.5","27,110","4","248","19.3","4,200","1","24","22.0","530"
"August 2015","60","2,000","20.0","33,095","7","268","16.7","4,350","36","480","21.3","10,460","3","418","20.3","6,010","2","26","10.5","510"
"September 2015","59","29,775","19.9","58,780","7","261","19.9","4,380","36","480","21.3","10,430","2","310","30.0","6,640","5","767","11.4","5,060"
"October 2015","113","372,683","11.7","294,660","7","268","21.9","4,570","36","480","21.3","10,460","4","460","20.3","8,740","9","2,563","10.3","7,680"
"November 2015","119","353,362","10.7","508,950","5","146","21.4","2,360","37","494","20.5","10,090","9","916","10.1","9,890","6","1,811","14.2","5,010"
"December 2015","113","374,075","10.7","414,830","4","110","26.5","2,270","36","454","21.5","9,840","8","811","12.9","8,500","9","2,044","10.0","4,560"
"January 2016","53","4,034","16.2","59,850","5","130","21.8","2,160","37","588","15.2","7,680","1","90","15.0","960","4","190","25.8","3,300"
"February 2016","19","4,061","33.5","56,420","6","159","23.0","3,020","2","157","159.5","730","..","..","..","..","4","190","24.5","3,130"
"March 2016","21","4,947","21.0","66,730","8","343","23.8","6,310","4","331","23.8","9,730","..","..","..","..","5","287","19.0","3,580"
"April 2016","23","2,487","15.5","17,710","9","465","19.1","6,450","5","353","11.6","3,890","..","..","..","..","3","243","19.0","2,890"
"May 2016","71","10,863","7.2","155,080","8","498","14.5","3,080","3","62","16.0","1,080","5","365","6.6","2,360","2","146","20.0","2,070"
"June 2016","55","5,642","11.3","59,810","7","661","16.4","5,030","1","17","21.0","360","3","339","14.3","5,290","..","..","..",".."
"July 2016","55","1,475","17.1","21,910","6","267","20.5","4,550","4","78","12.3","1,040","2","250","22.0","5,510","2","47","13.0","600"
"August 2016","33","1,035","18.2","15,690","5","217","21.8","3,970","3","72","23.3","1,760","2","250","22.0","5,510","2","125","11.5","260"
"September 2016","34","2,150","13.4","22,960","5","235","19.0","3,030","3","140","18.3","1,870","2","250","21.0","5,250","12","864","6.2","6,190"
"October 2016","32","5,777","14.9","39,060","4","93","23.0","1,510","3","140","13.3","1,070","3","394","13.7","4,930","4","267","14.3","5,180"
"November 2016","35","22,714","12.8","78,680","6","122","15.2","1,540","1","13","21.0","290","4","331","6.3","3,650","4","175","12.3","2,850"
"December 2016","26","2,524","15.5","37,980","4","112","21.3","1,600","1","13","21.0","290","1","48","9.0","430","3","224","20.7","4,320"
"January 2017","20","2,109","18.5","37,250","5","409","21.2","5,940","1","13","20.0","260","..","..","..","..","3","182","11.0","3,160"
"February 2017","50","16,618","13.3","69,320","8","934","16.9","12,980","2","39","13.5","440","..","..","..","..","4","318","17.3","4,780"
"March 2017","56","7,406","18.8","56,290","6","441","23.3","11,860","1","13","23.0","300","1","602","3.0","1,810","5","338","19.8","5,510"
"April 2017","50","5,702","19.0","36,000","8","687","21.4","17,080","1","13","20.0","260","..","..","..","..","4","202","15.0","2,730"
"May 2017","56","160,670","17.3","432,130","11","1,314","16.0","16,860","1","13","22.0","290","..","..","..","..","3","414","21.3","4,770"
