"Work stoppages in Canada, by jurisdiction and industry based on the North American Industry Classification System (NAICS), Employment and Social Development Canada - Labour Program 1 2 3"
"Frequency: Monthly"
"Table: 14-10-0350-01 (formerly CANSIM 278-0013)"
"Release date: 2024-07-15"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

"Geography 4","Canada",,,,
"August 2000","79","24","7","8","7"
"September 2000","76","25","8","9","8"
"October 2000","86","22","8","6","10"
"November 2000","76","20","5","7","9"
"December 2000","77","21","8","7","11"
"January 2001","67","20","9","4","9"
"February 2001","67","23","9","4","9"
"March 2001","79","26","6","4","7"
"April 2001","121","28","12","8","13"
"May 2001","103","37","9","5","13"
"June 2001","107","42","12","6","6"
"July 2001","92","41","12","7","7"
"August 2001","75","32","8","5","10"
"September 2001","62","29","7","5","8"
"October 2001","66","24","10","4","9"
"November 2001","60","20","8","7","8"
"December 2001","60","24","10","9","6"
"January 2002","63","26","7","12","7"
"February 2002","56","20","4","11","3"
"March 2002","56","18","7","10","5"
"April 2002","56","20","6","8","6"
"May 2002","79","26","9","8","9"
"June 2002","65","24","5","5","6"
"July 2002","77","18","1","4","23"
"August 2002","63","17","9","6","11"
"September 2002","66","20","11","7","6"
"October 2002","80","26","11","8","6"
"November 2002","72","24","11","6","5"
"December 2002","57","24","7","6","3"
"January 2003","56","24","5","5","3"
"February 2003","49","24","3","1","3"
"March 2003","62","24","6","2","5"
"April 2003","67","27","9","2","6"
"May 2003","60","25","5","3","3"
"June 2003","63","26","4","6","4"
"July 2003","60","25","3","4","6"
"August 2003","51","23","6","3","5"
"September 2003","64","24","10","2","7"
"October 2003","62","21","5","5","8"
"November 2003","53","14","10","2","8"
"December 2003","52","14","11","1","8"
"January 2004","50","10","5","3","12"
"February 2004","63","13","4","4","14"
"March 2004","67","16","6","4","13"
"April 2004","71","27","5","5","12"
"May 2004","72","33","5","1","8"
"June 2004","74","31","3","3","9"
"July 2004","83","33","7","4","9"
"August 2004","90","32","11","4","10"
"September 2004","78","24","11","2","10"
"October 2004","76","23","12","3","10"
"November 2004","64","24","10","4","8"
"December 2004","50","14","9","2","9"
"January 2005","44","14","7","..","7"
"February 2005","51","15","8","..","6"
"March 2005","51","21","8","2","3"
"April 2005","67","20","7","4","4"
"May 2005","61","16","7","3","4"
"June 2005","56","13","6","1","6"
"July 2005","76","14","7","1","23"
"August 2005","70","13","7","..","6"
"September 2005","93","20","9","6","10"
"October 2005","90","19","8","8","11"
"November 2005","86","17","11","5","10"
"December 2005","73","16","9","5","8"
"January 2006","37","15","4","3","5"
"February 2006","34","12","3","3","4"
"March 2006","48","21","6","6","6"
"April 2006","44","16","5","3","6"
"May 2006","51","19","5","3","6"
"June 2006","46","18","4","2","7"
"July 2006","40","17","4","2","6"
"August 2006","33","14","5","2","5"
"September 2006","29","16","4","..","5"
"October 2006","35","18","5","2","5"
"November 2006","36","17","4","1","6"
"December 2006","34","17","3","1","4"
"January 2007","34","15","1","1","6"
"February 2007","44","14","1","7","6"
"March 2007","48","13","1","5","11"
"April 2007","49","13","..","8","8"
"May 2007","54","14","..","10","9"
"June 2007","65","17","1","7","8"
"July 2007","57","12","..","7","8"
"August 2007","60","15","2","9","6"
"September 2007","54","13","2","9","7"
"October 2007","45","15","4","3","5"
"November 2007","33","12","5","2","2"
"December 2007","33","11","7","1","3"
"January 2008","28","10","4","..","1"
"February 2008","33","14","5","..","1"
"March 2008","40","16","5","..","4"
"April 2008","44","17","6","3","3"
"May 2008","40","19","5","..","2"
"June 2008","47","20","6","1","6"
"July 2008","60","23","2","1","23"
"August 2008","57","24","1","1","21"
"September 2008","51","28","1","4","7"
"October 2008","62","22","19","3","7"
"November 2008","53","16","18","4","8"
"December 2008","46","13","16","3","7"
"January 2009","41","10","14","2","6"
"February 2009","39","10","13","..","7"
"March 2009","47","13","14","2","9"
"April 2009","43","14","3","5","9"
"May 2009","41","19","4","2","6"
"June 2009","51","21","5","2","7"
"July 2009","52","18","9","3","6"
"August 2009","50","20","8","..","7"
"September 2009","50","21","8","..","6"
"October 2009","53","22","4","1","7"
"November 2009","46","20","4","3","4"
"December 2009","47","22","6","3","5"
"January 2010","44","22","6","..","4"
"February 2010","43","18","6","1","6"
"March 2010","45","17","6","1","8"
"April 2010","43","22","5","1","4"
"May 2010","43","20","4","1","3"
"June 2010","61","15","7","1","10"
"July 2010","44","16","6","3","10"
"August 2010","45","17","7","2","7"
"September 2010","53","18","6","2","16"
"October 2010","50","19","8","2","8"
"November 2010","50","21","7","2","8"
"December 2010","40","17","6","2","6"
"January 2011","39","16","5","3","7"
"February 2011","41","15","6","4","5"
"March 2011","42","17","6","3","4"
"April 2011","42","16","6","3","5"
"May 2011","34","13","6","2","5"
"June 2011","37","15","4","3","6"
"July 2011","37","13","4","2","4"
"August 2011","34","12","4","4","2"
"September 2011","38","7","6","3","5"
"October 2011","43","11","6","5","5"
"November 2011","40","10","5","6","4"
"December 2011","38","10","4","6","3"
"January 2012","34","13","4","6","4"
"February 2012","30","9","4","7","3"
"March 2012","35","12","4","5","4"
"April 2012","37","12","4","3","2"
"May 2012","66","15","3","4","4"
"June 2012","64","12","3","6","1"
"July 2012","43","11","3","4","4"
"August 2012","40","7","3","4","8"
"September 2012","43","7","3","5","10"
"October 2012","43","11","3","3","7"
"November 2012","53","10","3","2","5"
"December 2012","100","6","4","1","4"
"January 2013","35","5","3","3","5"
"February 2013","38","5","8","2","5"
"March 2013","61","7","38","2","4"
"April 2013","65","10","37","2","5"
"May 2013","68","10","38","2","5"
"June 2013","81","14","39","2","6"
"July 2013","70","12","39","2","6"
"August 2013","66","11","39","2","5"
"September 2013","72","15","40","1","4"
"October 2013","71","13","43","..","4"
"November 2013","64","12","42","..","4"
"December 2013","66","11","40","..","5"
"January 2014","60","10","40","1","2"
"February 2014","59","10","40","1","2"
"March 2014","57","9","40","1",".."
"April 2014","57","8","41","2",".."
"May 2014","64","12","41","2","1"
"June 2014","64","10","42","3","1"
"July 2014","62","8","40","4","3"
"August 2014","61","9","40","3","1"
"September 2014","74","9","41","3","1"
"October 2014","71","8","41","2","3"
"November 2014","82","9","40","1","2"
"December 2014","57","9","38","1","2"
"January 2015","67","9","38","3","1"
"February 2015","72","7","38","3","1"
"March 2015","73","11","36","2","1"
"April 2015","71","10","36","3","2"
"May 2015","73","9","37","3","2"
"June 2015","68","12","36","2","1"
"July 2015","71","10","38","4","1"
"August 2015","60","7","36","3","2"
"September 2015","59","7","36","2","5"
"October 2015","113","7","36","4","9"
"November 2015","119","5","37","9","6"
"December 2015","113","4","36","8","9"
"January 2016","53","5","37","1","4"
"February 2016","19","6","2","..","4"
"March 2016","21","8","4","..","5"
"April 2016","23","9","5","..","3"
"May 2016","71","8","3","5","2"
"June 2016","55","7","1","3",".."
"July 2016","55","6","4","2","2"
"August 2016","33","5","3","2","2"
"September 2016","34","5","3","2","12"
"October 2016","32","4","3","3","4"
"November 2016","35","6","1","4","4"
"December 2016","26","4","1","1","3"
"January 2017","20","5","1","..","3"
"February 2017","50","8","2","..","4"
"March 2017","56","6","1","1","5"
"April 2017","50","8","1","..","4"
"May 2017","56","11","1","..","3"
"June 2017","53","11","1","..","3"
"July 2017","47","8","1","2","3"
"August 2017","41","7","2","2","3"
"September 2017","38","6","2","2",".."
"October 2017","57","6","2","4",".."
"November 2017","44","5","7","..",".."
"December 2017","41","5","6","..",".."
"January 2018","46","4","8","2",".."
"February 2018","45","5","9","2",".."
"March 2018","51","7","5","3",".."
"April 2018","52","4","5","2","1"
"May 2018","40","5","6","2","5"
"June 2018","28","4","5","1","5"
"July 2018","28","5","6","2","4"
"August 2018","21","3","6","3","2"
"September 2018","21","4","6","2","2"
"October 2018","20","7","2","3","2"
"November 2018","24","9","4","3","2"
"December 2018","16","8","2","2","1"
"January 2019","17","8","2","2",".."
"February 2019","16","6","2","1","1"
"March 2019","16","2","1","1",".."
"April 2019","21","3","1","4","1"
"May 2019","32","3","..","1","2"
"June 2019","37","6","1","1","1"
"July 2019","41","7","2","4",".."
"August 2019","23","5","1","5",".."
"September 2019","35","7","..","4","4"
"October 2019","35","5","..","4","5"
"November 2019","28","7","..","5","3"
"December 2019","16","5","1","2",".."
"January 2020","20","4","1","2","1"
"February 2020","21","2","1","1",".."
"March 2020","12","1","..","..",".."
"April 2020","6","1","..","..",".."
"May 2020","6","1","..","..",".."
"June 2020","12","7","..","..",".."
"July 2020","19","6","..","2",".."
"August 2020","18","5","1","4",".."
"September 2020","16","5","2","1","1"
"October 2020","13","3","3","1","1"
"November 2020","16","7","3","1","2"
"December 2020","8","2","..","1","1"
"January 2021","6","2","1","..","1"
"February 2021","11","4","1","2","1"
"March 2021","25","8","2","1","1"
"April 2021","29","7","2","2","3"
"May 2021","44","12","1","1","10"
"June 2021","48","11","1","1","15"
"July 2021","39","15","..","..","13"
"August 2021","29","9","1","3","11"
"September 2021","41","7","2","4","15"
"October 2021","39","8","1","..","10"
"November 2021","47","8","2","2","5"
"December 2021","43","5","4","1","6"
"January 2022","21","4","2","1","6"
"February 2022","32","9","3","2","4"
"March 2022","34","7","4","2","4"
"April 2022","57","9","28","3","3"
"May 2022","65","10","26","2","4"
"June 2022","86","16","35","3","2"
"July 2022","52","8","25","2","4"
"August 2022","49","6","25","2","6"
"September 2022","44","3","25","4","4"
"October 2022","43","3","25","5","2"
"November 2022","45","3","25","5","2"
"December 2022","45","3","25","5","2"
"January 2023","45","..","24","5","3"
"February 2023","51","6","23","6","3"
"March 2023","58","6","23","11","3"
"April 2023","61","3","23","11","3"
"May 2023","77","13","26","17","4"
"June 2023","81","14","27","13","13"
"July 2023","69","9","27","8","13"
"August 2023","64","9","28","3","13"
"September 2023","57","3","26","2","13"
"October 2023","69","10","27","10","4"
"November 2023","644","3","27","10","6"
"December 2023","609","4","4","5","6"
"January 2024","614","3","4","5","4"
"February 2024","620","6","4","4","4"
"March 2024","95","9","3","5","4"
"April 2024","106","7","4","13","5"
"May 2024","97","9","4","12","3"

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"Work stoppage data cover strikes and lockouts that amount to 10 or more person-days not worked."
2,"Technical notes: https://www.canada.ca/en/employment-social-development/services/collective-bargaining-data/wages/technical-notes.html."
3,"This CANSIM table replaces archived table 278-0009."
4,"This breakdown represents a combination of geographic location and jurisdiction."
5,"This combines the North American Industry Classification System (NAICS) codes 41 and 44-45."
6,"This combines the North American Industry Classification System (NAICS) codes 48 and 49."
7,"This combines the North American Industry Classification System (NAICS) codes 71, 72 and 81."



"How to cite: Statistics Canada. Table 14-10-0350-01  Work stoppages in Canada, by jurisdiction and industry based on the North American Industry Classification System (NAICS), Employment and Social Development Canada - Labour Program"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410035001
