Year,Month,Canada News-Based Policy Uncertainty Index
2018,1,343.7724223
2018,2,365.2680904
2018,3,449.623944
2018,4,303.5407479
2018,5,257.3476861
2018,6,428.0686543
2018,7,292.0176583
2018,8,359.618741
2018,9,271.8350428
2018,10,296.1542783
2018,11,322.54407
2018,12,290.3946576
2019,1,301.8999717
2019,2,266.6059564
2019,3,250.5367347
2019,4,297.6471246
2019,5,275.6019138
2019,6,339.0719092
2019,7,333.2489093
2019,8,400.9045509
2019,9,358.1484561
2019,10,495.8523576
2019,11,364.8767112
2019,12,315.9803284
2020,1,275.70785
2020,2,380.2337126
2020,3,569.6582373
2020,4,448.4046815
2020,5,678.8170924
2020,6,504.9122043
2020,7,551.5302832
2020,8,415.3155312
2020,9,422.500605
2020,10,497.611723
2020,11,455.0476117
2020,12,371.1810553
2021,1,290.4154497
2021,2,323.2082074
2021,3,344.1619568
2021,4,267.8850336
2021,5,194.5655658
2021,6,172.3816099
2021,7,325.6135552
2021,8,210.1052929
2021,9,391.9559573
2021,10,210.5250517
2021,11,258.5585544
2021,12,336.5709607
2022,1,213.8743167
2022,2,218.4091626
2022,3,404.5340645
2022,4,300.569595
2022,5,303.7226067
2022,6,143.7326477
2022,7,212.4301758
2022,8,378.9809939
2022,9,257.0704624
2022,10,320.0339328
2022,11,271.5195853
2022,12,310.0544636
2023,1,232.5386219
2023,2,254.6151004
2023,3,339.5415602
2023,4,190.4251239
2023,5,219.6405166
2023,6,158.6246348
2023,7,262.0433856
2023,8,300.7430126
2023,9,202.0193796
2023,10,389.0551761
2023,11,317.7089137
2023,12,361.6210596
2024,1,247.0779775
2024,2,198.4418916
2024,3,283.2830573
2024,4,164.408376
2024,5,248.8831128
2024,6,198.0614397
2024,7,223.0753692
2024,8,295.1641165
2024,9,244.2153764
"Source: 'Measuring Economic Policy Uncertainty' by Scott Baker, Nicholas Bloom and Steven J. Davis at www.PolicyUncertainty.com.  These data can be used freely with attribution to the authors, the paper, and the website.",,
