index,"Total, Raw materials price indexes (RMPI)","Total, excluding crude energy products",Crop products  ,Wheat  ,Canola (including rapeseed)  ,"Fresh fruit, nuts and vegetables, and pulse crops  ",Fresh fruit and nuts  ,Fresh potatoes  ,Fresh vegetables (except potatoes and pulse crops)  ,Pulse crops (except soybeans)  ,Other crop products  ,Grains (except wheat)  ,Corn for grain  ,Oats  ,Barley  ,Oilseeds (except canola)  ,Soybeans  ,Oilseeds (except canola and soybeans)  ,Other miscellaneous crop products  ,"Floriculture and nursery products, and sod  ",Animals and animal products  ,Live animals  ,Cattle and calves  ,Hogs  ,Poultry  ,Other live animals  ,Other animal products  ,Eggs in shell  ,Unprocessed milk  ,"Raw furskins, and animal products n.e.c.  ","Fish, crustaceans, shellfish and other fishery products  "
1987-12-01,0.04839968774395004,0.06206206206206216,0.045138888888888895,0.15228690228690223,0.053160919540229834,0.41621456217539454,0.6952338017659492,0.06508474576271184,0.0009940357852882276,0.4997183778564531,0.3902452127405569,0.38474951046181605,0.06112469437652812,0.03576341127922972,0.023868312757201637,0.3554374572163328,0.11402157164869031,0.19264960892056213,0.2036611493140743,0.3274919462929433,0.04645760743321725,0.4228559610258299,0.22789360172537737,0.34557377049180327,0.005509641873278293,0.3936670230776084,0.42678251980577553,0.018094089264173663,0.016591251885369585,0.3942960658598582,0.11678832116788312
1988-01-01,0.04137392661982825,0.06206206206206216,0.05555555555555558,0.1543659043659043,0.08093869731800765,0.41621456217539454,0.6952338017659492,0.0671186440677966,0.0009940357852882276,0.4997183778564531,0.3902452127405569,0.38474951046181605,0.049714751426242876,0.05456212746446584,0.052674897119341535,0.3554374572163328,0.12249614791987673,0.19264960892056213,0.2036611493140743,0.3274919462929433,0.03716608594657378,0.4228559610258299,0.22645578720345078,0.30491803278688523,0.0,0.3936670230776084,0.42678251980577553,0.020506634499396825,0.016591251885369585,0.3942960658598582,0.12733171127331705
1988-02-01,0.032786885245901676,0.052052052052052045,0.05138888888888887,0.1533264033264033,0.07040229885057467,0.41621456217539454,0.6952338017659492,0.07661016949152541,0.0009940357852882276,0.4997183778564531,0.3902452127405569,0.38474951046181605,0.044824775876120604,0.04630903255387439,0.051028806584362096,0.3554374572163328,0.12326656394453006,0.19264960892056213,0.2036611493140743,0.3274919462929433,0.04994192799070851,0.4228559610258299,0.22933141624730408,0.33311475409836067,0.0027548209366391463,0.3936670230776084,0.42678251980577553,0.02533172496984315,0.021116138763197623,0.3942960658598582,0.12733171127331705
1988-03-01,0.029664324746291937,0.05705705705705705,0.04930555555555555,0.15644490644490644,0.07136015325670494,0.41621456217539454,0.6952338017659492,0.07728813559322031,0.0009940357852882276,0.4997183778564531,0.3902452127405569,0.38474951046181605,0.04237978810105952,0.03530490600641906,0.04279835390946496,0.3554374572163328,0.12249614791987673,0.19264960892056213,0.2036611493140743,0.3274919462929433,0.05226480836236935,0.4228559610258299,0.2401150251617541,0.32262295081967207,0.017906336088154284,0.3936670230776084,0.42678251980577553,0.022919179734619988,0.018099547511312264,0.3942960658598582,0.12733171127331705
1988-04-01,0.029664324746291937,0.05805805805805814,0.05138888888888887,0.15384615384615385,0.07854406130268196,0.41621456217539454,0.6952338017659492,0.07322033898305086,0.0009940357852882276,0.4997183778564531,0.3902452127405569,0.38474951046181605,0.050529747351263254,0.02659330582301697,0.059259259259259234,0.3554374572163328,0.1456086286594761,0.19264960892056213,0.2036611493140743,0.3274919462929433,0.04181184668989557,0.4228559610258299,0.26240115025161753,0.29573770491803275,0.03305785123966942,0.3936670230776084,0.42678251980577553,0.022919179734619988,0.018099547511312264,0.3942960658598582,0.07785888077858877
1988-05-01,0.035909445745511304,0.06606606606606608,0.061111111111111116,0.1574844074844075,0.0986590038314176,0.41621456217539454,0.6952338017659492,0.0671186440677966,0.001988071570576566,0.4997183778564531,0.3902452127405569,0.38474951046181605,0.05786471067644661,0.027051811095827605,0.08806584362139913,0.3554374572163328,0.19876733436055471,0.19264960892056213,0.2036611493140743,0.3274919462929433,0.04994192799070851,0.4228559610258299,0.26024442846872753,0.34688524590163927,0.05785123966942152,0.3936670230776084,0.42678251980577553,0.027744270205066313,0.022624434389140302,0.3942960658598582,0.04947283049472828
1988-06-01,0.03669008587041378,0.07207207207207217,0.08611111111111114,0.1642411642411642,0.15948275862068964,0.41621456217539454,0.6952338017659492,0.06305084745762712,0.0029821073558647937,0.4997183778564531,0.3902452127405569,0.38474951046181605,0.09861450692746532,0.05731315910132967,0.14320987654320988,0.3554374572163328,0.2966101694915254,0.19264960892056213,0.2036611493140743,0.3274919462929433,0.04994192799070851,0.4228559610258299,0.22645578720345078,0.41836065573770487,0.08402203856749324,0.3936670230776084,0.42678251980577553,0.02895054282267784,0.02413273001508298,0.3942960658598582,0.042173560421735534
1988-07-01,0.032006245120999255,0.07107107107107108,0.12013888888888885,0.17827442827442824,0.17241379310344826,0.41621456217539454,0.6952338017659492,0.06305084745762712,0.02385685884691846,0.4997183778564531,0.3902452127405569,0.38474951046181605,0.22901385493072535,0.1623108665749656,0.2197530864197531,0.3554374572163328,0.28659476117103233,0.19264960892056213,0.2036611493140743,0.3274919462929433,0.0325203252032521,0.4228559610258299,0.21710999281092735,0.34688524590163927,0.11157024793388437,0.3936670230776084,0.42678251980577553,0.04825090470446314,0.02413273001508298,0.3942960658598582,0.042173560421735534
1988-08-01,0.024980483996877467,0.06106106106106107,0.09236111111111112,0.14656964656964655,0.15229885057471262,0.41621456217539454,0.6952338017659492,0.06305084745762712,0.027833001988071593,0.4997183778564531,0.3902452127405569,0.38474951046181605,0.18011409942950296,0.1673544245758826,0.23209876543209873,0.3554374572163328,0.2750385208012327,0.19264960892056213,0.2036611493140743,0.3274919462929433,0.026713124274099886,0.4228559610258299,0.20632638389647734,0.30491803278688523,0.16253443526170785,0.3936670230776084,0.42678251980577553,0.07720144752714109,0.02413273001508298,0.3942960658598582,0.04622871046228705
1988-09-01,0.023419203747072626,0.06206206206206216,0.09375,0.15384615384615385,0.14750957854406124,0.41621456217539454,0.6952338017659492,0.06305084745762712,0.025844930417495027,0.4997183778564531,0.3902452127405569,0.38474951046181605,0.19804400977995107,0.166895919303072,0.2518518518518519,0.3554374572163328,0.2758089368258859,0.19264960892056213,0.2036611493140743,0.3274919462929433,0.0325203252032521,0.4228559610258299,0.209920920201294,0.3154098360655737,0.18181818181818177,0.3936670230776084,0.42678251980577553,0.07720144752714109,0.0301659125188537,0.3942960658598582,0.047850770478507665
