index,diet: (Canada),junk food: (Canada),organic food: (Canada),healthy diet: (Canada)
2012-06-01,0.37837837837837845,0.5,0.0,0.0
2012-07-01,0.40540540540540543,5e-05,0.0,0.0
2012-08-01,0.3243243243243243,5e-05,0.0,0.0
2012-09-01,0.3378378378378379,0.5,0.0,0.0
2012-10-01,0.27027027027027034,0.5,0.0,0.0
2012-11-01,0.2837837837837838,0.5,0.0,0.0
2012-12-01,0.22972972972972977,0.5,0.0,0.0
2013-01-01,0.5135135135135136,0.5,0.0,0.0
2013-02-01,0.48648648648648657,0.5,0.0,0.0
2013-03-01,0.48648648648648657,0.5,0.0,0.0
2013-04-01,0.48648648648648657,0.5,0.0,0.0
2013-05-01,0.39189189189189194,0.5,0.0,0.0
2013-06-01,0.37837837837837845,0.5,0.0,0.0
2013-07-01,0.36486486486486486,0.5,0.0,0.0
2013-08-01,0.37837837837837845,5e-05,0.0,0.0
2013-09-01,0.36486486486486486,0.5,0.0,0.0
2013-10-01,0.3243243243243243,0.5,0.0,0.0
2013-11-01,0.27027027027027034,0.5,0.0,0.0
2013-12-01,0.1891891891891892,0.5,0.0,0.0
2014-01-01,0.5,0.5,1.0,1.0
2014-02-01,0.39189189189189194,0.5,0.0,0.0
2014-03-01,0.4189189189189189,0.5,0.0,0.0
2014-04-01,0.37837837837837845,0.5,0.0,0.0
2014-05-01,0.3378378378378379,0.5,0.0,0.0
2014-06-01,0.27027027027027034,0.5,0.0,0.0
2014-07-01,0.24324324324324326,5e-05,0.0,0.0
2014-08-01,0.22972972972972977,5e-05,0.0,0.0
2014-09-01,0.22972972972972977,0.5,0.0,0.0
2014-10-01,0.21621621621621617,0.5,0.0,0.0
2014-11-01,0.2027027027027027,0.5,0.0,0.0
2014-12-01,0.2027027027027027,0.5,0.0,0.0
2015-01-01,0.39189189189189194,0.5,0.0,0.0
2015-02-01,0.2972972972972973,0.5,0.0,0.0
2015-03-01,0.3378378378378379,0.5,0.0,0.0
2015-04-01,0.3108108108108108,0.5,0.0,0.0
2015-05-01,0.3108108108108108,0.5,0.0,0.0
2015-06-01,0.27027027027027034,0.5,0.0,0.0
2015-07-01,0.22972972972972977,0.5,0.0,0.0
2015-08-01,0.27027027027027034,0.5,0.0,0.0
2015-09-01,0.2027027027027027,0.5,0.0,0.0
2015-10-01,0.1756756756756757,0.5,0.0,0.0
2015-11-01,0.2027027027027027,0.5,0.0,0.0
2015-12-01,0.13513513513513514,0.5,0.0,0.0
2016-01-01,0.40540540540540543,0.5,0.0,0.0
2016-02-01,0.2837837837837838,0.5,0.0,0.0
2016-03-01,0.2837837837837838,0.5,0.0,0.0
2016-04-01,0.3378378378378379,0.5,0.0,0.0
2016-05-01,0.2837837837837838,0.5,0.0,0.0
2016-06-01,0.25675675675675674,0.5,0.0,0.0
2016-07-01,0.21621621621621617,0.5,0.0,0.0
2016-08-01,0.24324324324324326,0.5,0.0,0.0
2016-09-01,0.1756756756756757,0.5,0.0,0.0
2016-10-01,0.1756756756756757,0.5,0.0,0.0
2016-11-01,0.1891891891891892,0.5,0.0,0.0
2016-12-01,0.14864864864864863,0.5,0.0,0.0
2017-01-01,0.39189189189189194,0.5,0.0,0.0
2017-02-01,0.5675675675675675,0.5,0.0,0.0
2017-03-01,0.39189189189189194,0.5,0.0,0.0
2017-04-01,0.3243243243243243,0.5,0.0,0.0
2017-05-01,0.35135135135135137,0.5,0.0,0.0
2017-06-01,0.35135135135135137,0.5,0.0,0.0
2017-07-01,0.36486486486486486,0.5,0.0,0.0
2017-08-01,0.3243243243243243,0.5,0.0,0.0
2017-09-01,0.2837837837837838,0.5,0.0,0.0
2017-10-01,0.2837837837837838,0.5,0.0,0.0
2017-11-01,0.27027027027027034,0.5,0.0,0.0
2017-12-01,0.22972972972972977,0.5,0.0,0.0
2018-01-01,0.6081081081081081,0.5,0.0,0.0
2018-02-01,0.47297297297297297,0.5,0.0,0.0
2018-03-01,0.5405405405405406,0.5,0.0,0.0
2018-04-01,0.5540540540540542,0.5,0.0,0.0
2018-05-01,0.527027027027027,0.5,0.0,0.0
2018-06-01,0.445945945945946,0.5,0.0,0.0
2018-07-01,0.48648648648648657,0.5,0.0,0.0
2018-08-01,0.4594594594594595,0.5,0.0,0.0
2018-09-01,0.37837837837837845,0.5,0.0,0.0
2018-10-01,0.35135135135135137,0.5,0.0,0.0
2018-11-01,0.3378378378378379,0.5,0.0,0.0
2018-12-01,0.2972972972972973,0.5,0.0,0.0
2019-01-01,0.6621621621621623,0.5,0.0,1.0
2019-02-01,0.4594594594594595,0.5,0.0,0.0
2019-03-01,0.445945945945946,0.5,0.0,0.0
2019-04-01,0.47297297297297297,0.5,0.0,0.0
2019-05-01,0.37837837837837845,0.5,0.0,0.0
2019-06-01,0.2972972972972973,0.5,0.0,0.0
2019-07-01,0.2837837837837838,5e-05,0.0,0.0
2019-08-01,0.2972972972972973,5e-05,0.0,0.0
2019-09-01,0.24324324324324326,0.5,0.0,0.0
2019-10-01,0.22972972972972977,0.5,0.0,0.0
2019-11-01,0.22972972972972977,0.5,0.0,0.0
2019-12-01,0.1891891891891892,0.5,0.0,0.0
2020-01-01,0.4594594594594595,0.5,0.0,0.0
2020-02-01,0.35135135135135137,0.5,0.0,0.0
2020-03-01,0.12162162162162166,0.5,0.0,0.0
2020-04-01,0.13513513513513514,0.5,0.0,0.0
2020-05-01,0.25675675675675674,0.5,0.0,0.0
2020-06-01,0.21621621621621617,0.5,0.0,0.0
2020-07-01,0.22972972972972977,0.5,0.0,0.0
2020-08-01,0.16216216216216223,0.5,0.0,0.0
2020-09-01,0.16216216216216223,5e-05,0.0,0.0
2020-10-01,0.1756756756756757,0.5,0.0,0.0
2020-11-01,0.10810810810810811,0.5,0.0,0.0
2020-12-01,0.09459459459459457,0.5,0.0,0.0
2021-01-01,0.2837837837837838,0.5,0.0,0.0
2021-02-01,0.22972972972972977,0.5,0.0,0.0
2021-03-01,0.1891891891891892,0.5,0.0,0.0
2021-04-01,0.16216216216216223,5e-05,0.0,0.0
2021-05-01,0.14864864864864863,0.5,0.0,0.0
2021-06-01,0.12162162162162166,5e-05,0.0,0.0
2021-07-01,0.10810810810810811,5e-05,0.0,0.0
2021-08-01,0.09459459459459457,5e-05,0.0,0.0
2021-09-01,0.040540540540540515,5e-05,0.0,0.0
2021-10-01,0.05405405405405406,5e-05,0.0,0.0
2021-11-01,0.0675675675675676,5e-05,0.0,0.0
2021-12-01,0.0,5e-05,0.0,0.0
2022-01-01,0.16216216216216223,0.5,0.0,0.0
2022-02-01,0.12162162162162166,0.5,0.0,0.0
2022-03-01,0.14864864864864863,0.5,0.0,0.0
2022-04-01,0.10810810810810811,0.5,0.0,0.0
2022-05-01,0.10810810810810811,0.5,0.0,0.0
2022-06-01,0.10810810810810811,0.5,0.0,0.0
2022-07-01,0.09459459459459457,5e-05,0.0,0.0
2022-08-01,0.09459459459459457,5e-05,0.0,0.0
2022-09-01,0.02702702702702703,5e-05,0.0,0.0
2022-10-01,0.040540540540540515,0.5,0.0,0.0
2022-11-01,0.040540540540540515,0.5,0.0,0.0
2022-12-01,0.040540540540540515,5e-05,0.0,0.0
2023-01-01,0.13513513513513514,0.5,0.0,0.0
2023-02-01,0.13513513513513514,0.5,0.0,0.0
2023-03-01,0.14864864864864863,5e-05,0.0,0.0
2023-04-01,0.09459459459459457,5e-05,0.0,0.0
2023-05-01,0.09459459459459457,5e-05,0.0,0.0
2023-06-01,0.09459459459459457,5e-05,0.0,0.0
2023-07-01,0.0675675675675676,5e-05,0.0,0.0
2023-08-01,0.05405405405405406,5e-05,0.0,0.0
2023-09-01,0.0675675675675676,5e-05,0.0,0.0
2023-10-01,0.040540540540540515,5e-05,0.0,0.0
2023-11-01,0.0675675675675676,5e-05,0.0,0.0
2023-12-01,0.02702702702702703,5e-05,0.0,0.0
2024-01-01,0.14864864864864863,5e-05,0.0,0.0
2024-02-01,0.09459459459459457,5e-05,0.0,0.0
2024-03-01,0.09459459459459457,5e-05,0.0,0.0
2024-04-01,0.09459459459459457,5e-05,0.0,0.0
2024-05-01,0.09459459459459457,5e-05,0.0,0.0
2024-06-01,0.09459459459459457,5e-05,0.0,0.0
