Date,Bakery and cereal products (excluding baby food)
2003-02-01,103.9
2003-03-01,104.1
2003-04-01,104.4
2003-05-01,104.0
2003-06-01,104.0
2003-07-01,103.6
2003-08-01,104.1
2003-09-01,104.2
2003-10-01,104.7
2003-11-01,104.9
2003-12-01,105.8
2004-01-01,104.6
2004-02-01,105.3
2004-03-01,105.8
2004-04-01,106.8
2004-05-01,106.8
2004-06-01,106.9
2004-07-01,107.3
2004-08-01,107.1
2004-09-01,107.3
2004-10-01,108.3
2004-11-01,108.6
2004-12-01,108.7
2005-01-01,108.2
2005-02-01,108.4
2005-03-01,108.7
2005-04-01,110.3
2005-05-01,110.2
2005-06-01,109.5
2005-07-01,110.0
2005-08-01,109.6
2005-09-01,109.7
2005-10-01,110.7
2005-11-01,110.5
2005-12-01,111.5
2006-01-01,110.0
2006-02-01,111.9
2006-03-01,112.5
2006-04-01,112.8
2006-05-01,113.1
2006-06-01,113.7
2006-07-01,114.5
2006-08-01,114.2
2006-09-01,113.5
2006-10-01,114.6
2006-11-01,115.7
2006-12-01,116.6
2007-01-01,116.0
2007-02-01,117.5
2007-03-01,116.7
2007-04-01,118.4
2007-05-01,117.3
2007-06-01,117.5
2007-07-01,118.1
2007-08-01,118.2
2007-09-01,116.5
2007-10-01,118.0
2007-11-01,121.4
2007-12-01,122.1
2008-01-01,124.3
2008-02-01,125.6
2008-03-01,127.0
2008-04-01,130.1
2008-05-01,132.6
2008-06-01,132.9
2008-07-01,135.2
2008-08-01,135.8
2008-09-01,134.6
2008-10-01,136.7
2008-11-01,137.1
2008-12-01,137.2
2009-01-01,137.3
2009-02-01,137.8
2009-03-01,137.7
2009-04-01,138.7
2009-05-01,137.9
2009-06-01,137.6
2009-07-01,138.2
2009-08-01,137.6
2009-09-01,136.9
2009-10-01,138.5
2009-11-01,137.4
2009-12-01,139.0
2010-01-01,138.4
2010-02-01,139.5
2010-03-01,138.9
2010-04-01,137.6
2010-05-01,137.6
2010-06-01,138.5
2010-07-01,139.0
2010-08-01,139.4
2010-09-01,138.4
2010-10-01,139.5
2010-11-01,138.5
2010-12-01,140.2
2011-01-01,139.4
2011-02-01,141.9
2011-03-01,142.8
2011-04-01,145.6
2011-05-01,146.3
2011-06-01,147.1
2011-07-01,147.3
2011-08-01,147.9
2011-09-01,146.8
2011-10-01,148.4
2011-11-01,149.3
2011-12-01,148.6
2012-01-01,148.8
2012-02-01,149.0
2012-03-01,149.9
2012-04-01,151.0
2012-05-01,149.4
2012-06-01,149.6
2012-07-01,150.2
2012-08-01,151.7
2012-09-01,149.9
2012-10-01,152.4
2012-11-01,151.4
2012-12-01,151.6
2013-01-01,151.0
2013-02-01,152.5
2013-03-01,152.0
2013-04-01,153.4
2013-05-01,152.8
2013-06-01,152.2
2013-07-01,152.2
2013-08-01,153.3
2013-09-01,151.4
2013-10-01,152.0
2013-11-01,151.8
2013-12-01,151.4
2014-01-01,150.1
2014-02-01,152.4
2014-03-01,151.0
2014-04-01,151.0
2014-05-01,150.8
2014-06-01,152.0
2014-07-01,151.9
2014-08-01,152.7
2014-09-01,149.5
2014-10-01,150.8
2014-11-01,151.8
2014-12-01,153.0
2015-01-01,151.7
2015-02-01,152.7
2015-03-01,152.9
2015-04-01,154.1
2015-05-01,156.0
2015-06-01,155.6
2015-07-01,156.1
2015-08-01,156.4
2015-09-01,154.2
2015-10-01,155.1
2015-11-01,154.9
2015-12-01,156.1
2016-01-01,156.6
2016-02-01,156.2
2016-03-01,155.6
2016-04-01,156.4
2016-05-01,156.6
2016-06-01,155.2
2016-07-01,155.4
2016-08-01,155.3
2016-09-01,151.5
2016-10-01,151.9
2016-11-01,149.6
2016-12-01,149.7
2017-01-01,150.4
2017-02-01,150.5
2017-03-01,150.7
2017-04-01,151.6
2017-05-01,151.2
2017-06-01,151.7
2017-07-01,152.3
2017-08-01,153.0
2017-09-01,150.8
2017-10-01,152.9
2017-11-01,151.6
2017-12-01,152.3
2018-01-01,151.0
2018-02-01,152.0
2018-03-01,151.1
2018-04-01,151.5
2018-05-01,151.6
2018-06-01,151.2
2018-07-01,151.3
2018-08-01,151.8
2018-09-01,149.6
2018-10-01,152.3
2018-11-01,152.2
2018-12-01,153.7
2019-01-01,153.8
2019-02-01,155.1
2019-03-01,154.1
2019-04-01,152.4
2019-05-01,154.8
2019-06-01,154.4
2019-07-01,156.0
2019-08-01,156.8
2019-09-01,154.2
2019-10-01,156.0
2019-11-01,156.4
2019-12-01,156.9
2020-01-01,156.9
2020-02-01,157.9
2020-03-01,159.6
2020-04-01,158.7
2020-05-01,160.2
2020-06-01,158.9
2020-07-01,156.9
2020-08-01,157.8
2020-09-01,155.1
2020-10-01,156.6
2020-11-01,155.2
2020-12-01,156.4
2021-01-01,154.2
2021-02-01,157.1
2021-03-01,156.8
2021-04-01,156.2
2021-05-01,157.8
2021-06-01,157.7
2021-07-01,157.9
2021-08-01,158.5
2021-09-01,158.1
2021-10-01,159.3
2021-11-01,161.6
2021-12-01,164.1
2022-01-01,164.9
2022-02-01,167.6
2022-03-01,172.2
2022-04-01,173.8
