Date,Farm product wholesaler-distributors  ,"Food, beverage and tobacco wholesaler-distributors  ",Food and beverage stores  ,Food services and drinking places  
2019-01-01,2400.0,14115.0,20476.0,33886.0
2019-02-01,2204.0,14278.0,20446.0,33806.0
2019-03-01,2461.0,14435.0,20272.0,33879.0
2019-04-01,2678.0,14578.0,20423.0,33742.0
2019-05-01,2544.0,14570.0,20027.0,33693.0
2019-06-01,2561.0,14808.0,19975.0,33860.0
2019-07-01,2297.0,15164.0,20425.0,33834.0
2019-08-01,2237.0,14785.0,20396.0,33750.0
2019-09-01,2247.0,14714.0,20367.0,33497.0
2019-10-01,2371.0,14988.0,20312.0,33570.0
2019-11-01,2352.0,15093.0,20201.0,33715.0
2019-12-01,2328.0,15364.0,20712.0,33948.0
2020-01-01,2311.0,15180.0,20863.0,33333.0
2020-02-01,2221.0,15077.0,20222.0,32955.0
2020-03-01,2368.0,15388.0,22637.0,20592.0
2020-04-01,2365.0,14428.0,20644.0,12085.0
2020-05-01,2460.0,14544.0,20548.0,14722.0
2020-06-01,2537.0,15325.0,21137.0,18534.0
2020-07-01,2789.0,15271.0,20757.0,21236.0
2020-08-01,2751.0,14373.0,20678.0,22618.0
2020-09-01,2490.0,15013.0,20675.0,22813.0
2020-10-01,2470.0,14902.0,20455.0,20739.0
2020-11-01,2470.0,14977.0,21198.0,20901.0
2020-12-01,2624.0,14958.0,21070.0,18912.0
2021-01-01,2619.0,15270.0,21749.0,19427.0
2021-02-01,2671.0,14854.0,21512.0,20186.0
2021-03-01,2716.0,15208.0,21168.0,23002.0
2021-04-01,2637.0,15364.0,20981.0,19965.0
2021-05-01,2411.0,15566.0,20766.0,19456.0
2021-06-01,2434.0,15213.0,20540.0,23648.0
2021-07-01,2289.0,15216.0,20024.0,26487.0
2021-08-01,2332.0,15447.0,20417.0,28177.0
2021-09-01,2206.0,15562.0,20663.0,27673.0
2021-10-01,2079.0,15645.0,20467.0,26763.0
2021-11-01,1986.0,15599.0,20515.0,27554.0
2021-12-01,1880.0,15256.0,20366.0,26718.0
2022-01-01,1896.0,15304.0,20613.0,22893.0
2022-02-01,1990.0,15414.0,20283.0,26214.0
2022-03-01,1707.0,15621.0,20561.0,28158.0
2022-04-01,1726.0,14859.0,19626.0,28264.0
2022-05-01,1874.0,15341.0,19796.0,28986.0
2022-06-01,1928.0,15133.0,19559.0,29551.0
2022-07-01,2236.0,15333.0,19486.0,29953.0
2022-08-01,2099.0,15682.0,19537.0,30312.0
2022-09-01,2269.0,15835.0,19066.0,29927.0
2022-10-01,2520.0,15829.0,19297.0,30464.0
2022-11-01,2544.0,14935.0,18933.0,29795.0
2022-12-01,2387.0,15454.0,18815.0,29691.0
2023-01-01,2690.0,15690.0,18999.0,30873.0
2023-02-01,2674.0,15142.0,19170.0,30759.0
2023-03-01,2753.0,15118.0,19264.0,30179.0
2023-04-01,2648.0,14766.0,19451.0,30253.0
2023-05-01,2248.0,14949.0,19679.0,30417.0
2023-06-01,2378.0,15063.0,19467.0,30114.0
2023-07-01,2405.0,15140.0,19662.0,30499.0
2023-08-01,2375.0,14918.0,19440.0,30155.0
2023-09-01,2533.0,15062.0,19392.0,30181.0
2023-10-01,2547.0,14773.0,19384.0,30296.0
2023-11-01,2417.0,14759.0,19021.0,30433.0
