Date,Truck transportation  
2018-02-01,21301
2018-03-01,20984
2018-04-01,20659
2018-05-01,20729
2018-06-01,20639
2018-07-01,20465
2018-08-01,20473
2018-09-01,20504
2018-10-01,20544
2018-11-01,20526
2018-12-01,20716
2019-01-01,21038
2019-02-01,21018
2019-03-01,21222
2019-04-01,21432
2019-05-01,21733
2019-06-01,21762
2019-07-01,21836
2019-08-01,21898
2019-09-01,21817
2019-10-01,21745
2019-11-01,21655
2019-12-01,21840
2020-01-01,21384
2020-02-01,21389
2020-03-01,19563
2020-04-01,15949
2020-05-01,16829
2020-06-01,18968
2020-07-01,19541
2020-08-01,19494
2020-09-01,20019
2020-10-01,20390
2020-11-01,20508
2020-12-01,20698
2021-01-01,20643
2021-02-01,20370
2021-03-01,20624
2021-04-01,20297
2021-05-01,20174
2021-06-01,19891
2021-07-01,19987
2021-08-01,20234
2021-09-01,20567
2021-10-01,20614
2021-11-01,20950
2021-12-01,20845
2022-01-01,20645
2022-02-01,20907
2022-03-01,21114
2022-04-01,21087
2022-05-01,21168
2022-06-01,21312
2022-07-01,21178
2022-08-01,21074
2022-09-01,21055
2022-10-01,20985
2022-11-01,20965
2022-12-01,20882
2023-01-01,21200
2023-02-01,20947
2023-03-01,21137
2023-04-01,21247
2023-05-01,21212
2023-06-01,21140
2023-07-01,21286
2023-08-01,21286
2023-09-01,21219
2023-10-01,20866
2023-11-01,21129
2023-12-01,21059
2024-01-01,21465
2024-02-01,21295
2024-03-01,21084
