Date,Food 5
1997-07-01,90.1
1997-08-01,89.5
1997-09-01,88.9
1997-10-01,88.9
1997-11-01,89.8
1997-12-01,89.7
1998-01-01,91.2
1998-02-01,90.5
1998-03-01,90.7
1998-04-01,90.5
1998-05-01,90.9
1998-06-01,91.6
1998-07-01,91.3
1998-08-01,90.8
1998-09-01,90.1
1998-10-01,90.2
1998-11-01,91.2
1998-12-01,91.2
1999-01-01,92.3
1999-02-01,91.8
1999-03-01,92.0
1999-04-01,92.2
1999-05-01,92.4
1999-06-01,92.7
1999-07-01,92.5
1999-08-01,91.8
1999-09-01,91.2
1999-10-01,91.4
1999-11-01,92.0
1999-12-01,92.2
2000-01-01,92.1
2000-02-01,91.9
2000-03-01,92.3
2000-04-01,92.5
2000-05-01,93.2
2000-06-01,93.8
2000-07-01,94.3
2000-08-01,94.0
2000-09-01,93.3
2000-10-01,93.1
2000-11-01,93.9
2000-12-01,95.1
2001-01-01,95.3
2001-02-01,96.1
2001-03-01,96.9
2001-04-01,97.2
2001-05-01,98.0
2001-06-01,98.2
2001-07-01,98.6
2001-08-01,97.9
2001-09-01,97.2
2001-10-01,97.0
2001-11-01,97.5
2001-12-01,98.6
2002-01-01,99.7
2002-02-01,100.3
2002-03-01,100.1
2002-04-01,100.5
2002-05-01,100.1
2002-06-01,100.5
2002-07-01,100.5
2002-08-01,99.9
2002-09-01,99.0
2002-10-01,98.5
2002-11-01,100.1
2002-12-01,100.8
2003-01-01,101.6
2003-02-01,101.5
2003-03-01,101.7
2003-04-01,101.8
2003-05-01,102.1
2003-06-01,102.4
2003-07-01,102.4
2003-08-01,101.5
2003-09-01,100.8
2003-10-01,100.7
2003-11-01,101.7
2003-12-01,102.6
2004-01-01,102.8
2004-02-01,102.6
2004-03-01,102.7
2004-04-01,102.5
2004-05-01,103.4
2004-06-01,104.4
2004-07-01,104.4
2004-08-01,104.1
2004-09-01,103.7
2004-10-01,104.2
2004-11-01,105.2
2004-12-01,105.7
2005-01-01,105.4
2005-02-01,105.2
2005-03-01,105.6
2005-04-01,106.6
2005-05-01,106.8
2005-06-01,107.2
2005-07-01,106.9
2005-08-01,106.8
2005-09-01,105.8
2005-10-01,106.2
2005-11-01,106.7
2005-12-01,107.5
2006-01-01,108.4
2006-02-01,108.2
2006-03-01,108.2
2006-04-01,108.1
2006-05-01,108.7
2006-06-01,109.2
2006-07-01,109.2
2006-08-01,109.2
2006-09-01,108.8
2006-10-01,109.2
2006-11-01,110.1
2006-12-01,109.9
2007-01-01,110.9
2007-02-01,112.6
2007-03-01,112.2
2007-04-01,112.2
2007-05-01,112.5
2007-06-01,112.6
2007-07-01,112.3
2007-08-01,111.8
2007-09-01,110.9
2007-10-01,110.7
2007-11-01,111.3
2007-12-01,111.7
2008-01-01,112.4
2008-02-01,112.8
2008-03-01,112.6
2008-04-01,113.5
2008-05-01,114.6
2008-06-01,115.8
2008-07-01,116.5
2008-08-01,116.8
2008-09-01,117.1
2008-10-01,117.4
2008-11-01,119.5
2008-12-01,119.8
2009-01-01,120.6
2009-02-01,121.2
2009-03-01,121.5
2009-04-01,121.6
2009-05-01,121.9
2009-06-01,122.2
2009-07-01,122.3
2009-08-01,121.5
2009-09-01,120.4
2009-10-01,120.1
2009-11-01,121.5
2009-12-01,121.8
2010-01-01,122.3
2010-02-01,122.7
2010-03-01,123.1
2010-04-01,122.8
2010-05-01,122.9
2010-06-01,123.0
2010-07-01,123.7
2010-08-01,123.5
2010-09-01,122.9
2010-10-01,122.7
2010-11-01,123.3
2010-12-01,123.9
2011-01-01,124.9
2011-02-01,125.3
2011-03-01,127.2
2011-04-01,126.9
2011-05-01,127.7
2011-06-01,128.3
2011-07-01,129.0
2011-08-01,128.9
2011-09-01,128.2
2011-10-01,128.0
2011-11-01,129.2
2011-12-01,129.3
2012-01-01,130.2
2012-02-01,130.4
2012-03-01,130.0
2012-04-01,130.1
2012-05-01,130.9
2012-06-01,130.9
2012-07-01,131.7
2012-08-01,131.7
2012-09-01,130.3
2012-10-01,130.5
2012-11-01,131.4
2012-12-01,131.2
2013-01-01,131.6
2013-02-01,132.9
2013-03-01,132.4
2013-04-01,132.1
2013-05-01,132.6
2013-06-01,132.5
2013-07-01,132.7
2013-08-01,133.0
2013-09-01,131.9
2013-10-01,131.7
2013-11-01,132.8
2013-12-01,132.5
2014-01-01,133.0
2014-02-01,134.3
2014-03-01,134.4
2014-04-01,134.6
2014-05-01,135.7
2014-06-01,136.4
2014-07-01,136.5
2014-08-01,135.9
2014-09-01,135.5
2014-10-01,135.4
2014-11-01,136.9
2014-12-01,137.4
2015-01-01,139.1
2015-02-01,139.5
2015-03-01,139.5
2015-04-01,139.4
2015-05-01,140.8
2015-06-01,141.0
2015-07-01,140.9
2015-08-01,140.8
2015-09-01,140.3
2015-10-01,140.9
2015-11-01,141.6
2015-12-01,142.5
2016-01-01,144.6
2016-02-01,145.0
2016-03-01,144.5
2016-04-01,143.8
2016-05-01,143.3
2016-06-01,142.8
2016-07-01,143.2
2016-08-01,142.3
2016-09-01,140.4
2016-10-01,139.9
2016-11-01,140.6
2016-12-01,140.6
2017-01-01,141.5
2017-02-01,141.7
2017-03-01,141.8
2017-04-01,142.2
2017-05-01,143.1
2017-06-01,143.6
2017-07-01,144.1
2017-08-01,143.6
2017-09-01,142.4
2017-10-01,141.7
2017-11-01,142.9
2017-12-01,143.4
2018-01-01,144.7
2018-02-01,144.7
2018-03-01,144.2
2018-04-01,144.8
2018-05-01,144.6
2018-06-01,145.6
2018-07-01,146.1
2018-08-01,145.9
2018-09-01,144.9
2018-10-01,144.6
2018-11-01,146.1
2018-12-01,147.5
2019-01-01,148.7
2019-02-01,149.3
2019-03-01,149.4
2019-04-01,149.0
2019-05-01,149.7
2019-06-01,150.7
2019-07-01,151.6
2019-08-01,151.1
2019-09-01,150.2
2019-10-01,149.9
2019-11-01,151.1
2019-12-01,151.9
2020-01-01,153.5
2020-02-01,152.9
2020-03-01,152.8
2020-04-01,154.0
2020-05-01,154.3
2020-06-01,154.8
2020-07-01,155.0
2020-08-01,153.8
2020-09-01,152.6
2020-10-01,153.3
2020-11-01,153.9
2020-12-01,153.6
2021-01-01,155.0
2021-02-01,155.6
2021-03-01,155.5
2021-04-01,155.4
2021-05-01,156.6
2021-06-01,156.8
2021-07-01,157.6
2021-08-01,158.0
2021-09-01,158.5
2021-10-01,159.2
2021-11-01,160.7
2021-12-01,161.6
2022-01-01,163.9
2022-02-01,166.0
2022-03-01,167.5
2022-04-01,169.0
