index,All industries,Manufacturing,Wholesale and retail trade,Transportation,Entertainment and hospitality
1989-09-01,120,41.0,19.0,5.0,10.0
1989-10-01,131,44.0,22.0,14.0,9.0
1989-11-01,117,46.0,20.0,12.0,10.0
1989-12-01,101,41.0,18.0,8.0,7.0
1990-01-01,86,34.0,14.0,7.0,7.0
1990-02-01,88,33.0,12.0,4.0,7.0
1990-03-01,122,53.0,15.0,5.0,7.0
1990-04-01,122,52.0,20.0,10.0,3.0
1990-05-01,144,59.0,23.0,12.0,5.0
1990-06-01,150,68.0,24.0,9.0,9.0
1990-07-01,122,54.0,23.0,10.0,6.0
1990-08-01,152,73.0,26.0,9.0,5.0
1990-09-01,142,68.0,21.0,8.0,5.0
1990-10-01,158,74.0,21.0,8.0,7.0
1990-11-01,145,67.0,17.0,7.0,15.0
1990-12-01,94,47.0,9.0,7.0,12.0
1991-01-01,83,38.0,9.0,6.0,7.0
1991-02-01,112,42.0,13.0,5.0,10.0
1991-03-01,114,40.0,14.0,7.0,10.0
1991-04-01,109,45.0,16.0,8.0,9.0
1991-05-01,116,40.0,16.0,3.0,9.0
1991-06-01,108,47.0,18.0,5.0,3.0
1991-07-01,84,34.0,13.0,5.0,4.0
1991-08-01,97,44.0,13.0,6.0,6.0
1991-09-01,102,38.0,11.0,6.0,8.0
1991-10-01,95,37.0,7.0,9.0,6.0
1991-11-01,85,35.0,6.0,9.0,6.0
1991-12-01,73,35.0,7.0,4.0,5.0
1992-01-01,73,33.0,8.0,7.0,2.0
1992-02-01,86,34.0,9.0,8.0,4.0
1992-03-01,85,33.0,10.0,7.0,4.0
1992-04-01,90,38.0,16.0,5.0,5.0
1992-05-01,88,39.0,12.0,2.0,8.0
1992-06-01,115,50.0,16.0,4.0,11.0
1992-07-01,115,47.0,22.0,5.0,9.0
1992-08-01,94,30.0,22.0,4.0,10.0
1992-09-01,86,29.0,19.0,7.0,6.0
1992-10-01,92,35.0,21.0,5.0,6.0
1992-11-01,98,32.0,23.0,9.0,7.0
1992-12-01,88,29.0,22.0,7.0,8.0
1993-01-01,89,29.0,18.0,7.0,5.0
1993-02-01,96,30.0,18.0,8.0,7.0
1993-03-01,98,28.0,18.0,7.0,10.0
1993-04-01,102,33.0,22.0,4.0,8.0
1993-05-01,113,36.0,23.0,3.0,11.0
1993-06-01,90,31.0,19.0,5.0,9.0
1993-07-01,87,33.0,15.0,5.0,7.0
1993-08-01,83,37.0,11.0,3.0,11.0
1993-09-01,93,37.0,12.0,4.0,8.0
1993-10-01,100,37.0,13.0,6.0,8.0
1993-11-01,95,34.0,12.0,3.0,5.0
1993-12-01,87,35.0,10.0,3.0,5.0
1994-01-01,84,36.0,10.0,5.0,4.0
1994-02-01,76,28.0,7.0,6.0,3.0
1994-03-01,80,32.0,6.0,4.0,6.0
1994-04-01,98,45.0,8.0,6.0,9.0
1994-05-01,106,49.0,7.0,6.0,9.0
1994-06-01,89,37.0,8.0,6.0,9.0
1994-07-01,85,36.0,11.0,4.0,9.0
1994-08-01,82,34.0,10.0,5.0,5.0
1994-09-01,86,39.0,10.0,4.0,9.0
1994-10-01,86,39.0,10.0,4.0,6.0
1994-11-01,87,41.0,12.0,3.0,5.0
1994-12-01,70,27.0,11.0,6.0,5.0
1995-01-01,70,27.0,10.0,8.0,4.0
1995-02-01,71,35.0,9.0,8.0,2.0
1995-03-01,74,33.0,11.0,9.0,3.0
1995-04-01,63,26.0,11.0,4.0,2.0
1995-05-01,81,31.0,17.0,10.0,4.0
1995-06-01,88,29.0,22.0,7.0,6.0
1995-07-01,87,36.0,16.0,7.0,5.0
1995-08-01,74,27.0,17.0,6.0,7.0
1995-09-01,69,27.0,15.0,6.0,2.0
1995-10-01,67,21.0,17.0,5.0,2.0
1995-11-01,57,20.0,15.0,4.0,2.0
1995-12-01,48,17.0,13.0,5.0,1.0
1996-01-01,50,18.0,10.0,6.0,1.0
1996-02-01,67,16.0,9.0,7.0,5.0
1996-03-01,59,18.0,12.0,4.0,3.0
1996-04-01,64,18.0,8.0,6.0,4.0
1996-05-01,79,28.0,14.0,5.0,7.0
1996-06-01,93,32.0,12.0,5.0,8.0
1996-07-01,97,29.0,10.0,6.0,11.0
1996-08-01,91,29.0,8.0,4.0,12.0
1996-09-01,67,24.0,8.0,5.0,8.0
1996-10-01,81,27.0,8.0,6.0,8.0
1996-11-01,81,19.0,11.0,10.0,7.0
1996-12-01,76,16.0,13.0,9.0,6.0
1997-01-01,72,19.0,10.0,10.0,6.0
1997-02-01,71,22.0,7.0,9.0,5.0
1997-03-01,80,26.0,9.0,12.0,5.0
1997-04-01,61,23.0,9.0,5.0,3.0
1997-05-01,60,23.0,7.0,6.0,6.0
1997-06-01,74,31.0,7.0,6.0,5.0
1997-07-01,69,30.0,4.0,3.0,3.0
1997-08-01,67,23.0,3.0,5.0,4.0
1997-09-01,59,21.0,4.0,3.0,9.0
1997-10-01,68,25.0,6.0,5.0,8.0
1997-11-01,61,21.0,7.0,6.0,5.0
1997-12-01,54,19.0,8.0,5.0,5.0
1998-01-01,55,17.0,8.0,3.0,5.0
1998-02-01,64,24.0,7.0,2.0,3.0
1998-03-01,62,25.0,5.0,2.0,3.0
1998-04-01,67,25.0,9.0,3.0,7.0
1998-05-01,79,32.0,7.0,2.0,5.0
1998-06-01,93,31.0,6.0,6.0,8.0
1998-07-01,90,29.0,7.0,4.0,6.0
1998-08-01,85,30.0,8.0,4.0,5.0
1998-09-01,114,29.0,13.0,3.0,8.0
1998-10-01,95,22.0,12.0,4.0,6.0
1998-11-01,85,25.0,7.0,4.0,7.0
1998-12-01,81,23.0,13.0,5.0,12.0
1999-01-01,69,20.0,10.0,3.0,8.0
1999-02-01,75,18.0,11.0,3.0,8.0
1999-03-01,98,20.0,12.0,5.0,11.0
1999-04-01,99,27.0,12.0,6.0,9.0
1999-05-01,100,27.0,13.0,2.0,12.0
1999-06-01,108,27.0,16.0,2.0,12.0
1999-07-01,99,27.0,15.0,2.0,12.0
1999-08-01,94,36.0,12.0,2.0,6.0
1999-09-01,102,38.0,15.0,2.0,7.0
1999-10-01,95,42.0,12.0,3.0,8.0
1999-11-01,92,28.0,13.0,3.0,9.0
1999-12-01,94,28.0,13.0,6.0,6.0
2000-01-01,85,30.0,8.0,6.0,3.0
2000-02-01,84,30.0,10.0,4.0,4.0
2000-03-01,89,23.0,12.0,4.0,6.0
2000-04-01,93,32.0,12.0,6.0,10.0
2000-05-01,93,40.0,9.0,5.0,9.0
2000-06-01,97,43.0,9.0,5.0,10.0
2000-07-01,80,21.0,10.0,6.0,14.0
2000-08-01,79,24.0,7.0,8.0,7.0
2000-09-01,76,25.0,8.0,9.0,8.0
2000-10-01,86,22.0,8.0,6.0,10.0
2000-11-01,76,20.0,5.0,7.0,9.0
2000-12-01,77,21.0,8.0,7.0,11.0
2001-01-01,67,20.0,9.0,4.0,9.0
2001-02-01,67,23.0,9.0,4.0,9.0
2001-03-01,79,26.0,6.0,4.0,7.0
2001-04-01,121,28.0,12.0,8.0,13.0
2001-05-01,103,37.0,9.0,5.0,13.0
2001-06-01,107,42.0,12.0,6.0,6.0
2001-07-01,92,41.0,12.0,7.0,7.0
2001-08-01,75,32.0,8.0,5.0,10.0
2001-09-01,62,29.0,7.0,5.0,8.0
2001-10-01,66,24.0,10.0,4.0,9.0
2001-11-01,60,20.0,8.0,7.0,8.0
2001-12-01,60,24.0,10.0,9.0,6.0
2002-01-01,63,26.0,7.0,12.0,7.0
2002-02-01,56,20.0,4.0,11.0,3.0
2002-03-01,56,18.0,7.0,10.0,5.0
2002-04-01,56,20.0,6.0,8.0,6.0
2002-05-01,79,26.0,9.0,8.0,9.0
2002-06-01,65,24.0,5.0,5.0,6.0
2002-07-01,77,18.0,1.0,4.0,23.0
2002-08-01,63,17.0,9.0,6.0,11.0
2002-09-01,66,20.0,11.0,7.0,6.0
2002-10-01,80,26.0,11.0,8.0,6.0
2002-11-01,72,24.0,11.0,6.0,5.0
2002-12-01,57,24.0,7.0,6.0,3.0
2003-01-01,56,24.0,5.0,5.0,3.0
2003-02-01,49,24.0,3.0,1.0,3.0
2003-03-01,62,24.0,6.0,2.0,5.0
2003-04-01,67,27.0,9.0,2.0,6.0
2003-05-01,60,25.0,5.0,3.0,3.0
2003-06-01,63,26.0,4.0,6.0,4.0
2003-07-01,60,25.0,3.0,4.0,6.0
2003-08-01,51,23.0,6.0,3.0,5.0
2003-09-01,64,24.0,10.0,2.0,7.0
2003-10-01,62,21.0,5.0,5.0,8.0
2003-11-01,53,14.0,10.0,2.0,8.0
2003-12-01,52,14.0,11.0,1.0,8.0
2004-01-01,50,10.0,5.0,3.0,12.0
2004-02-01,63,13.0,4.0,4.0,14.0
2004-03-01,67,16.0,6.0,4.0,13.0
2004-04-01,71,27.0,5.0,5.0,12.0
2004-05-01,72,33.0,5.0,1.0,8.0
2004-06-01,74,31.0,3.0,3.0,9.0
2004-07-01,83,33.0,7.0,4.0,9.0
2004-08-01,90,32.0,11.0,4.0,10.0
2004-09-01,78,24.0,11.0,2.0,10.0
2004-10-01,76,23.0,12.0,3.0,10.0
2004-11-01,64,24.0,10.0,4.0,8.0
2004-12-01,50,14.0,9.0,2.0,9.0
2005-01-01,44,14.0,7.0,,7.0
2005-02-01,51,15.0,8.0,,6.0
2005-03-01,51,21.0,8.0,2.0,3.0
2005-04-01,67,20.0,7.0,4.0,4.0
2005-05-01,61,16.0,7.0,3.0,4.0
2005-06-01,56,13.0,6.0,1.0,6.0
2005-07-01,76,14.0,7.0,1.0,23.0
2005-08-01,70,13.0,7.0,,6.0
2005-09-01,93,20.0,9.0,6.0,10.0
2005-10-01,90,19.0,8.0,8.0,11.0
2005-11-01,86,17.0,11.0,5.0,10.0
2005-12-01,73,16.0,9.0,5.0,8.0
2006-01-01,37,15.0,4.0,3.0,5.0
2006-02-01,34,12.0,3.0,3.0,4.0
2006-03-01,48,21.0,6.0,6.0,6.0
2006-04-01,44,16.0,5.0,3.0,6.0
2006-05-01,51,19.0,5.0,3.0,6.0
2006-06-01,46,18.0,4.0,2.0,7.0
2006-07-01,40,17.0,4.0,2.0,6.0
2006-08-01,33,14.0,5.0,2.0,5.0
2006-09-01,29,16.0,4.0,,5.0
2006-10-01,35,18.0,5.0,2.0,5.0
2006-11-01,36,17.0,4.0,1.0,6.0
2006-12-01,34,17.0,3.0,1.0,4.0
2007-01-01,34,15.0,1.0,1.0,6.0
2007-02-01,44,14.0,1.0,7.0,6.0
2007-03-01,48,13.0,1.0,5.0,11.0
2007-04-01,49,13.0,,8.0,8.0
2007-05-01,54,14.0,,10.0,9.0
2007-06-01,65,17.0,1.0,7.0,8.0
2007-07-01,57,12.0,,7.0,8.0
2007-08-01,60,15.0,2.0,9.0,6.0
2007-09-01,54,13.0,2.0,9.0,7.0
2007-10-01,45,15.0,4.0,3.0,5.0
2007-11-01,33,12.0,5.0,2.0,2.0
2007-12-01,33,11.0,7.0,1.0,3.0
2008-01-01,28,10.0,4.0,,1.0
2008-02-01,33,14.0,5.0,,1.0
2008-03-01,40,16.0,5.0,,4.0
2008-04-01,44,17.0,6.0,3.0,3.0
2008-05-01,40,19.0,5.0,,2.0
2008-06-01,47,20.0,6.0,1.0,6.0
2008-07-01,60,23.0,2.0,1.0,23.0
2008-08-01,57,24.0,1.0,1.0,21.0
2008-09-01,51,28.0,1.0,4.0,7.0
2008-10-01,62,22.0,19.0,3.0,7.0
2008-11-01,53,16.0,18.0,4.0,8.0
2008-12-01,46,13.0,16.0,3.0,7.0
2009-01-01,41,10.0,14.0,2.0,6.0
2009-02-01,39,10.0,13.0,,7.0
2009-03-01,47,13.0,14.0,2.0,9.0
2009-04-01,43,14.0,3.0,5.0,9.0
2009-05-01,41,19.0,4.0,2.0,6.0
2009-06-01,51,21.0,5.0,2.0,7.0
2009-07-01,52,18.0,9.0,3.0,6.0
2009-08-01,50,20.0,8.0,,7.0
2009-09-01,50,21.0,8.0,,6.0
2009-10-01,53,22.0,4.0,1.0,7.0
2009-11-01,46,20.0,4.0,3.0,4.0
2009-12-01,47,22.0,6.0,3.0,5.0
2010-01-01,44,22.0,6.0,,4.0
2010-02-01,43,18.0,6.0,1.0,6.0
2010-03-01,45,17.0,6.0,1.0,8.0
2010-04-01,43,22.0,5.0,1.0,4.0
2010-05-01,43,20.0,4.0,1.0,3.0
2010-06-01,61,15.0,7.0,1.0,10.0
2010-07-01,44,16.0,6.0,3.0,10.0
2010-08-01,45,17.0,7.0,2.0,7.0
2010-09-01,53,18.0,6.0,2.0,16.0
2010-10-01,50,19.0,8.0,2.0,8.0
2010-11-01,50,21.0,7.0,2.0,8.0
2010-12-01,40,17.0,6.0,2.0,6.0
2011-01-01,39,16.0,5.0,3.0,7.0
2011-02-01,41,15.0,6.0,4.0,5.0
2011-03-01,42,17.0,6.0,3.0,4.0
2011-04-01,42,16.0,6.0,3.0,5.0
2011-05-01,34,13.0,6.0,2.0,5.0
2011-06-01,37,15.0,4.0,3.0,6.0
2011-07-01,37,13.0,4.0,2.0,4.0
2011-08-01,34,12.0,4.0,4.0,2.0
2011-09-01,38,7.0,6.0,3.0,5.0
2011-10-01,43,11.0,6.0,5.0,5.0
2011-11-01,40,10.0,5.0,6.0,4.0
2011-12-01,38,10.0,4.0,6.0,3.0
2012-01-01,34,13.0,4.0,6.0,4.0
2012-02-01,30,9.0,4.0,7.0,3.0
2012-03-01,35,12.0,4.0,5.0,4.0
2012-04-01,37,12.0,4.0,3.0,2.0
2012-05-01,66,15.0,3.0,4.0,4.0
2012-06-01,64,12.0,3.0,6.0,1.0
2012-07-01,43,11.0,3.0,4.0,4.0
2012-08-01,40,7.0,3.0,4.0,8.0
2012-09-01,43,7.0,3.0,5.0,10.0
2012-10-01,43,11.0,3.0,3.0,7.0
2012-11-01,53,10.0,3.0,2.0,5.0
2012-12-01,100,6.0,4.0,1.0,4.0
2013-01-01,35,5.0,3.0,3.0,5.0
2013-02-01,38,5.0,8.0,2.0,5.0
2013-03-01,61,7.0,38.0,2.0,4.0
2013-04-01,65,10.0,37.0,2.0,5.0
2013-05-01,68,10.0,38.0,2.0,5.0
2013-06-01,81,14.0,39.0,2.0,6.0
2013-07-01,70,12.0,39.0,2.0,6.0
2013-08-01,66,11.0,39.0,2.0,5.0
2013-09-01,72,15.0,40.0,1.0,4.0
2013-10-01,71,13.0,43.0,,4.0
2013-11-01,64,12.0,42.0,,4.0
2013-12-01,66,11.0,40.0,,5.0
2014-01-01,60,10.0,40.0,1.0,2.0
2014-02-01,59,10.0,40.0,1.0,2.0
2014-03-01,57,9.0,40.0,1.0,
2014-04-01,57,8.0,41.0,2.0,
2014-05-01,64,12.0,41.0,2.0,1.0
2014-06-01,64,10.0,42.0,3.0,1.0
2014-07-01,62,8.0,40.0,4.0,3.0
2014-08-01,61,9.0,40.0,3.0,1.0
2014-09-01,74,9.0,41.0,3.0,1.0
2014-10-01,71,8.0,41.0,2.0,3.0
2014-11-01,82,9.0,40.0,1.0,2.0
2014-12-01,57,9.0,38.0,1.0,2.0
2015-01-01,67,9.0,38.0,3.0,1.0
2015-02-01,72,7.0,38.0,3.0,1.0
2015-03-01,73,11.0,36.0,2.0,1.0
2015-04-01,71,10.0,36.0,3.0,2.0
2015-05-01,73,9.0,37.0,3.0,2.0
2015-06-01,68,12.0,36.0,2.0,1.0
2015-07-01,71,10.0,38.0,4.0,1.0
2015-08-01,60,7.0,36.0,3.0,2.0
2015-09-01,59,7.0,36.0,2.0,5.0
2015-10-01,113,7.0,36.0,4.0,9.0
2015-11-01,119,5.0,37.0,9.0,6.0
2015-12-01,113,4.0,36.0,8.0,9.0
2016-01-01,53,5.0,37.0,1.0,4.0
2016-02-01,19,6.0,2.0,,4.0
2016-03-01,21,8.0,4.0,,5.0
2016-04-01,23,9.0,5.0,,3.0
2016-05-01,71,8.0,3.0,5.0,2.0
2016-06-01,55,7.0,1.0,3.0,
2016-07-01,55,6.0,4.0,2.0,2.0
2016-08-01,33,5.0,3.0,2.0,2.0
2016-09-01,34,5.0,3.0,2.0,12.0
2016-10-01,32,4.0,3.0,3.0,4.0
2016-11-01,35,6.0,1.0,4.0,4.0
2016-12-01,26,4.0,1.0,1.0,3.0
2017-01-01,20,5.0,1.0,,3.0
2017-02-01,50,8.0,2.0,,4.0
2017-03-01,56,6.0,1.0,1.0,5.0
2017-04-01,50,8.0,1.0,,4.0
2017-05-01,56,11.0,1.0,,3.0
2017-06-01,53,11.0,1.0,,3.0
2017-07-01,47,8.0,1.0,2.0,3.0
2017-08-01,41,7.0,2.0,2.0,3.0
2017-09-01,38,6.0,2.0,2.0,
2017-10-01,57,6.0,2.0,4.0,
2017-11-01,44,5.0,7.0,,
2017-12-01,41,5.0,6.0,,
2018-01-01,46,4.0,8.0,2.0,
2018-02-01,45,5.0,9.0,2.0,
2018-03-01,51,7.0,5.0,3.0,
2018-04-01,52,4.0,5.0,2.0,1.0
2018-05-01,40,5.0,6.0,2.0,5.0
2018-06-01,28,4.0,5.0,1.0,5.0
2018-07-01,28,5.0,6.0,2.0,4.0
2018-08-01,21,3.0,6.0,3.0,2.0
2018-09-01,21,4.0,6.0,2.0,2.0
2018-10-01,20,7.0,2.0,3.0,2.0
2018-11-01,24,9.0,4.0,3.0,2.0
2018-12-01,16,8.0,2.0,2.0,1.0
2019-01-01,17,8.0,2.0,2.0,
2019-02-01,16,6.0,2.0,1.0,1.0
2019-03-01,16,2.0,1.0,1.0,
2019-04-01,21,3.0,1.0,4.0,1.0
2019-05-01,32,3.0,,1.0,2.0
2019-06-01,37,6.0,1.0,1.0,1.0
2019-07-01,41,7.0,2.0,4.0,
2019-08-01,23,5.0,1.0,5.0,
2019-09-01,35,7.0,,4.0,4.0
2019-10-01,35,5.0,,4.0,5.0
2019-11-01,28,7.0,,5.0,3.0
2019-12-01,16,5.0,1.0,2.0,
2020-01-01,20,4.0,1.0,2.0,1.0
2020-02-01,21,2.0,1.0,1.0,
2020-03-01,12,1.0,,,
2020-04-01,6,1.0,,,
2020-05-01,6,1.0,,,
2020-06-01,12,7.0,,,
2020-07-01,19,6.0,,2.0,
2020-08-01,18,5.0,1.0,4.0,
2020-09-01,16,5.0,2.0,1.0,1.0
2020-10-01,13,3.0,3.0,1.0,1.0
2020-11-01,16,7.0,3.0,1.0,2.0
2020-12-01,8,2.0,,1.0,1.0
2021-01-01,6,2.0,1.0,,1.0
2021-02-01,11,4.0,1.0,2.0,1.0
2021-03-01,25,8.0,2.0,1.0,1.0
2021-04-01,29,7.0,2.0,2.0,3.0
2021-05-01,44,12.0,1.0,1.0,10.0
2021-06-01,48,11.0,1.0,1.0,15.0
2021-07-01,39,15.0,,,13.0
2021-08-01,29,9.0,1.0,3.0,11.0
2021-09-01,41,7.0,2.0,4.0,15.0
2021-10-01,39,8.0,1.0,,10.0
2021-11-01,47,8.0,2.0,2.0,5.0
2021-12-01,43,5.0,4.0,1.0,6.0
2022-01-01,21,4.0,2.0,1.0,6.0
2022-02-01,32,9.0,3.0,2.0,4.0
2022-03-01,34,7.0,4.0,2.0,4.0
2022-04-01,57,9.0,28.0,3.0,3.0
2022-05-01,65,10.0,26.0,2.0,4.0
2022-06-01,86,16.0,35.0,3.0,2.0
2022-07-01,52,8.0,25.0,2.0,4.0
2022-08-01,49,6.0,25.0,2.0,6.0
2022-09-01,44,3.0,25.0,4.0,4.0
2022-10-01,43,3.0,25.0,5.0,2.0
2022-11-01,45,3.0,25.0,5.0,2.0
2022-12-01,45,3.0,25.0,5.0,2.0
2023-01-01,45,,24.0,5.0,3.0
2023-02-01,51,6.0,23.0,6.0,3.0
2023-03-01,58,6.0,23.0,11.0,3.0
2023-04-01,61,3.0,23.0,11.0,3.0
2023-05-01,77,13.0,26.0,17.0,4.0
2023-06-01,81,14.0,27.0,13.0,13.0
2023-07-01,69,9.0,27.0,8.0,13.0
2023-08-01,64,9.0,28.0,3.0,13.0
2023-09-01,57,3.0,26.0,2.0,13.0
2023-10-01,69,10.0,27.0,10.0,4.0
2023-11-01,644,3.0,27.0,10.0,6.0
2023-12-01,609,4.0,4.0,5.0,6.0
2024-01-01,614,3.0,4.0,5.0,4.0
2024-02-01,620,6.0,4.0,4.0,4.0
2024-03-01,95,9.0,3.0,5.0,4.0
2024-04-01,106,7.0,4.0,13.0,5.0
2024-05-01,97,9.0,4.0,12.0,3.0
