index,IMPMX
2002-04-01,11471.3
2002-05-01,11928.5
2002-06-01,11311.3
2002-07-01,11292.7
2002-08-01,11854.0
2002-09-01,11409.2
2002-10-01,12657.9
2002-11-01,11483.8
2002-12-01,10148.1
2003-01-01,10830.471871
2003-02-01,10957.74635
2003-03-01,11782.873584
2003-04-01,11154.76735
2003-05-01,11494.695166
2003-06-01,11419.770253
2003-07-01,11124.660266
2003-08-01,11402.971213
2003-09-01,11816.925777
2003-10-01,12965.721721
2003-11-01,11692.454078
2003-12-01,11416.933039
2004-01-01,11200.697382
2004-02-01,11709.184025
2004-03-01,13593.840264
2004-04-01,12575.919962
2004-05-01,13049.68255
2004-06-01,13849.957397
2004-07-01,12213.055187
2004-08-01,13278.740489
2004-09-01,13520.859201
2004-10-01,14475.085708
2004-11-01,13908.861718
2004-12-01,12525.636996
2005-01-01,12073.877538
2005-02-01,12607.086223
2005-03-01,14114.386986
2005-04-01,14281.680962
2005-05-01,14413.456593
2005-06-01,14848.634031
2005-07-01,12710.198843
2005-08-01,14895.582203
2005-09-01,14517.596941
2005-10-01,15720.302085
2005-11-01,15499.125225
2005-12-01,14426.686454
2006-01-01,15227.898733
2006-02-01,14820.116001
2006-03-01,17363.410599
2006-04-01,15665.302854
2006-05-01,17154.567504
2006-06-01,17787.312952
2006-07-01,15464.493723
2006-08-01,18038.733072
2006-09-01,16897.474172
2006-10-01,17515.223528
2006-11-01,17246.552982
2006-12-01,15072.072916
2007-01-01,15373.414782
2007-02-01,15142.800964
2007-03-01,18190.608555
2007-04-01,16254.884744
2007-05-01,18018.864706
2007-06-01,17977.44685
2007-07-01,16896.927079
2007-08-01,19115.288345
2007-09-01,17810.06128
2007-10-01,19855.795397
2007-11-01,19356.110665
2007-12-01,16721.763421
2008-01-01,17054.489904
2008-02-01,17674.548616
2008-03-01,17707.143614
2008-04-01,19364.867919
2008-05-01,18837.19048
2008-06-01,19179.862394
2008-07-01,19238.036767
2008-08-01,19522.811944
2008-09-01,17926.202129
2008-10-01,19695.697705
2008-11-01,15471.647011
2008-12-01,14269.120451
2009-01-01,12464.880319
2009-02-01,12379.800932
2009-03-01,13929.609237
2009-04-01,13715.716078
2009-05-01,13317.530768
2009-06-01,14011.452216
2009-07-01,14081.690768
2009-08-01,15060.457572
2009-09-01,16130.041851
2009-10-01,17289.890373
2009-11-01,17185.834189
2009-12-01,17087.468278
2010-01-01,16089.401311
2010-02-01,16459.3035
2010-03-01,20089.473382
2010-04-01,18594.241149
2010-05-01,19419.170358
2010-06-01,20049.051276
2010-07-01,18213.816319
2010-08-01,20252.186868
2010-09-01,19907.979417
2010-10-01,21024.033325
2010-11-01,20530.272158
2010-12-01,19356.693943
2011-01-01,19606.415988
2011-02-01,19053.573913
2011-03-01,23269.530509
2011-04-01,21359.695548
2011-05-01,22970.201508
2011-06-01,22714.761359
2011-07-01,21091.268234
2011-08-01,23152.520693
2011-09-01,22303.510283
2011-10-01,22853.67643
2011-11-01,23146.761421
2011-12-01,21351.680072
2012-01-01,21503.850119
2012-02-01,22617.235501
2012-03-01,25114.970644
2012-04-01,22757.374163
2012-05-01,24815.00065
2012-06-01,23513.912415
2012-07-01,22526.284391
2012-08-01,23763.800403
2012-09-01,22151.09406
2012-10-01,24817.644447
2012-11-01,23731.326201
2012-12-01,20281.146552
2013-01-01,21555.691063
2013-02-01,22070.216153
2013-03-01,23152.280405
2013-04-01,24364.137517
2013-05-01,24484.250823
2013-06-01,22927.614985
2013-07-01,23545.906453
2013-08-01,23988.341411
2013-09-01,23303.262723
2013-10-01,25314.928284
2013-11-01,23723.34888
2013-12-01,22126.061545
2014-01-01,22021.433933
2014-02-01,22445.225298
2014-03-01,24943.714671
2014-04-01,24577.857296
2014-05-01,25444.440013
2014-06-01,25134.483507
2014-07-01,25309.020948
2014-08-01,24848.981752
2014-09-01,25033.4188
2014-10-01,27565.602131
2014-11-01,24382.019757
2014-12-01,24023.76474
2015-01-01,22261.08611
2015-02-01,22706.549902
2015-03-01,25651.682135
2015-04-01,24704.745498
2015-05-01,24482.502226
2015-06-01,26919.217962
2015-07-01,24804.806979
2015-08-01,24693.76639
2015-09-01,25331.316173
2015-10-01,27672.193708
2015-11-01,24049.508619
2015-12-01,23155.949322
2016-01-01,22337.723342
2016-02-01,23121.746528
2016-03-01,24692.111632
2016-04-01,24985.773651
2016-05-01,24761.062479
2016-06-01,24809.622976
2016-07-01,22944.587756
2016-08-01,25544.937654
2016-09-01,25122.16115
2016-10-01,26358.862675
2016-11-01,25358.0766
2016-12-01,23463.940217
2017-01-01,23458.559937
2017-02-01,23806.874965
2017-03-01,27920.627811
2017-04-01,25017.467801
2017-05-01,27032.582237
2017-06-01,27153.754084
2017-07-01,24514.74541
2017-08-01,26924.36987
2017-09-01,25731.991377
2017-10-01,28572.107216
2017-11-01,27481.066952
2017-12-01,25052.592836
2018-01-01,25788.215741
2018-02-01,25777.142669
2018-03-01,29754.137946
2018-04-01,27895.040348
2018-05-01,29209.179529
2018-06-01,29349.892896
2018-07-01,27999.48831
2018-08-01,30885.907159
2018-09-01,28984.790343
2018-10-01,31636.756798
2018-11-01,29464.671352
2018-12-01,26935.317419
2019-01-01,27557.995759
2019-02-01,27485.222761
2019-03-01,31111.754186
2019-04-01,30229.048253
2019-05-01,31907.669816
2019-06-01,30193.358032
2019-07-01,29953.511976
2019-08-01,30887.235941
2019-09-01,29273.757502
2019-10-01,30932.978041
2019-11-01,29060.754817
2019-12-01,27500.296961
2020-01-01,28202.281911
2020-02-01,28903.203952
2020-03-01,29882.071459
2020-04-01,15771.982737
2020-05-01,14857.386976
2020-06-01,25672.078884
2020-07-01,28878.18955
2020-08-01,29555.632641
2020-09-01,29788.03202
2020-10-01,32785.496819
2020-11-01,29819.707574
2020-12-01,29360.853468
2021-01-01,28976.451284
2021-02-01,27201.783374
2021-03-01,33313.889483
2021-04-01,31991.844406
2021-05-01,31108.854912
2021-06-01,32776.616579
2021-07-01,31818.084797
2021-08-01,31957.126193
2021-09-01,31829.475316
2021-10-01,34138.925977
2021-11-01,34470.179273
2021-12-01,32986.107656
2022-01-01,33155.619505
2022-02-01,32507.559725
2022-03-01,40013.719324
2022-04-01,38517.005188
2022-05-01,39445.510893
2022-06-01,39122.762916
2022-07-01,37687.531146
2022-08-01,39780.910597
2022-09-01,39197.973411
2022-10-01,40144.372069
2022-11-01,36643.679848
2022-12-01,35815.569471
2023-01-01,36895.405811
2023-02-01,35678.640092
2023-03-01,42793.405279
2023-04-01,38054.994275
2023-05-01,41339.552129
2023-06-01,40988.584861
2023-07-01,38900.908583
2023-08-01,41698.966182
2023-09-01,39509.220025
2023-10-01,42897.39595
2023-11-01,39844.044126
2023-12-01,36614.848384
2024-01-01,38042.320835
2024-02-01,40244.578331
2024-03-01,41562.915485
2024-04-01,43065.613597
2024-05-01,43880.787079
