Date,Seed crushed,Oil  produced,Meal produced
1994-02-01,167109,69486,102483
1994-03-01,189976,79235,115673
1994-04-01,192008,80201,117692
1994-05-01,185895,76880,113017
1994-06-01,178790,74214,107803
1994-07-01,177238,74137,106705
1994-08-01,139335,58476,84332
1994-09-01,204217,85045,126382
1994-10-01,229168,96839,142361
1994-11-01,234048,99868,146705
1994-12-01,237236,99558,148859
1995-01-01,244889,104304,154900
1995-02-01,220421,93141,138866
1995-03-01,228200,96685,142930
1995-04-01,215378,91509,133036
1995-05-01,189193,80435,117803
1995-06-01,205003,86105,126006
1995-07-01,165847,70570,102475
1995-08-01,169116,71622,104669
1995-09-01,222281,92469,140268
1995-10-01,220536,92266,140229
1995-11-01,228044,94572,144989
1995-12-01,237503,99507,149862
1996-01-01,256404,107209,161470
1996-02-01,232102,98262,146007
1996-03-01,244715,102147,154357
1996-04-01,244634,103539,150811
1996-05-01,204683,89370,128328
1996-06-01,227839,93870,140070
1996-07-01,264560,111283,162894
1996-08-01,242443,100494,150896
1996-09-01,267313,113472,166929
1996-10-01,247922,101769,150398
1996-11-01,210029,88270,127943
1996-12-01,208208,88127,127051
1997-01-01,192181,80327,115751
1997-02-01,208141,86856,125667
1997-03-01,234160,98485,141457
1997-04-01,203297,85543,122428
1997-05-01,238266,100543,143740
1997-06-01,242504,101898,145944
1997-07-01,217417,91044,130774
1997-08-01,207588,85780,127476
1997-09-01,305311,125473,189418
1997-10-01,260700,108864,162537
1997-11-01,248240,106380,152884
1997-12-01,289983,122921,181424
1998-01-01,289047,122024,179502
1998-02-01,281128,118877,173549
1998-03-01,299175,126856,184591
1998-04-01,297076,125822,183657
1998-05-01,254984,108103,157226
1998-06-01,256882,107995,158108
1998-07-01,248703,104471,153682
1998-08-01,223067,93165,137383
1998-09-01,297717,123736,186520
1998-10-01,325303,134961,206025
1998-11-01,287124,119847,183015
1998-12-01,320525,134704,206178
1999-01-01,284215,119127,179556
1999-02-01,238513,100152,150993
1999-03-01,268798,113835,171039
1999-04-01,216027,90633,136560
1999-05-01,224357,93939,142293
1999-06-01,193204,81709,122703
1999-07-01,183625,77278,117883
1999-08-01,167548,70222,107067
1999-09-01,284507,119667,177531
1999-10-01,266903,110590,167379
1999-11-01,245626,102070,154663
1999-12-01,293479,122271,182757
2000-01-01,273365,112791,170061
2000-02-01,231914,97409,144052
2000-03-01,301705,125547,187265
2000-04-01,205655,85154,127725
2000-05-01,265540,110505,164455
2000-06-01,242234,100748,148714
2000-07-01,204905,85965,126740
2000-08-01,237985,100625,148126
2000-09-01,281672,118014,173640
2000-10-01,294098,123385,183017
2000-11-01,290402,122523,181508
2000-12-01,280515,117751,174436
2001-01-01,290238,122658,180343
2001-02-01,244686,101986,151920
2001-03-01,278975,117823,171969
2001-04-01,221861,91801,138896
2001-05-01,168194,69662,104642
2001-06-01,216606,91289,132423
2001-07-01,207859,88214,129045
2001-08-01,197758,84177,122702
2001-09-01,220964,92134,137932
2001-10-01,213770,89390,132574
2001-11-01,235814,98719,144705
2001-12-01,203357,91513,131881
2002-01-01,213233,90117,132796
2002-02-01,182328,77157,112824
2002-03-01,184346,77170,114737
2002-04-01,166053,69616,101776
2002-05-01,161213,67919,100396
2002-06-01,163251,68997,101485
2002-07-01,151075,64107,93478
2002-08-01,190994,80752,118336
2002-09-01,216504,91584,136460
2002-10-01,192778,80318,120908
2002-11-01,167731,68470,105341
2002-12-01,144840,60568,91742
2003-01-01,145732,60520,92359
2003-02-01,185914,76629,116310
2003-03-01,192041,80268,119573
2003-04-01,188322,77840,115180
2003-05-01,181151,75807,113215
2003-06-01,197774,81121,122163
2003-07-01,221133,92014,138147
2003-08-01,209845,88220,130917
2003-09-01,298462,122916,187895
2003-10-01,279079,114154,175734
2003-11-01,283488,113478,176581
2003-12-01,289053,120061,182052
2004-01-01,300216,123292,188917
2004-02-01,267181,111113,168097
2004-03-01,325247,132518,203764
2004-04-01,307567,127105,190434
2004-05-01,287763,118626,178899
2004-06-01,234993,97544,146835
2004-07-01,306664,126218,190352
2004-08-01,259121,106562,161786
2004-09-01,223777,92320,135644
2004-10-01,288740,119778,177081
2004-11-01,274977,112658,174711
2004-12-01,283584,115971,180519
2005-01-01,246560,101900,156334
2005-02-01,247343,101367,157264
2005-03-01,274913,113559,175573
2005-04-01,249970,101641,156721
2005-05-01,221362,92258,139332
2005-06-01,201577,81758,127300
2005-07-01,259005,106970,161551
2005-08-01,239125,97845,152287
2005-09-01,261091,109823,158833
2005-10-01,299356,126619,176854
2005-11-01,296053,127174,175450
2005-12-01,291883,125661,173379
2006-01-01,290836,124671,171212
2006-02-01,282814,121353,164118
2006-03-01,298908,128806,177494
2006-04-01,293783,126297,172282
2006-05-01,252294,108907,146644
2006-06-01,300701,129730,174857
2006-07-01,315776,136346,181745
2006-08-01,297919,129120,173406
2006-09-01,269076,114213,160238
2006-10-01,324892,140962,190736
2006-11-01,324914,140453,190923
2006-12-01,332352,145538,197414
2007-01-01,303370,132321,177723
2007-02-01,257997,112411,152275
2007-03-01,283754,122056,167719
2007-04-01,294021,128132,172785
2007-05-01,296695,129550,174409
2007-06-01,293813,127213,173212
2007-07-01,300276,129276,177581
2007-08-01,329300,142747,193507
2007-09-01,325278,136003,195326
2007-10-01,350661,144620,211373
2007-11-01,363313,149816,218735
2007-12-01,373714,156429,224674
2008-01-01,354349,147165,214396
2008-02-01,340271,143025,204288
2008-03-01,374283,157355,228661
2008-04-01,323250,137049,194800
2008-05-01,334422,139315,202074
2008-06-01,337149,140895,203731
2008-07-01,338459,144321,203467
2008-08-01,303277,126328,184332
2008-09-01,361669,154031,212356
2008-10-01,396201,168982,230506
2008-11-01,367089,158086,213058
2008-12-01,387297,165730,224894
2009-01-01,360020,155605,206806
2009-02-01,345917,149154,199917
2009-03-01,386368,167960,223704
2009-04-01,352896,153150,202520
2009-05-01,320201,138734,184578
2009-06-01,329433,142469,191717
2009-07-01,369518,158527,212729
2009-08-01,332606,145801,190964
2009-09-01,334542,144419,191987
2009-10-01,309411,135433,174435
2009-11-01,374278,164176,207501
2009-12-01,353993,155368,199542
2010-01-01,407370,177930,229843
2010-02-01,387555,170754,215981
2010-03-01,470110,208994,262045
2010-04-01,437302,193466,242373
2010-05-01,432364,189016,242602
2010-06-01,451129,200514,248919
2010-07-01,497174,221371,276597
2010-08-01,438878,192227,243201
2010-09-01,505009,219424,280403
2010-10-01,551318,239345,306559
2010-11-01,551947,239870,312662
2010-12-01,553561,243497,312472
2011-01-01,508420,221745,290195
2011-02-01,489871,213452,279298
2011-03-01,581086,257356,332836
2011-04-01,544170,236522,310045
2011-05-01,505238,228137,290711
2011-06-01,529268,229920,297808
2011-07-01,551636,246415,311905
2011-08-01,445297,196189,253597
2011-09-01,590938,260222,333775
2011-10-01,589444,262678,333151
2011-11-01,602500,268876,342709
2011-12-01,673070,299750,381993
2012-01-01,636670,284893,357729
2012-02-01,591728,264928,336814
2012-03-01,667847,300042,377978
2012-04-01,614015,275158,353961
2012-05-01,523548,236879,297101
2012-06-01,479146,216348,269452
2012-07-01,585113,261171,332050
2012-08-01,489884,216581,278954
2012-09-01,631585,270501,372296
2012-10-01,664261,284900,397717
2012-11-01,588045,255546,353811
2012-12-01,658729,282006,387464
2013-01-01,560835,243475,331894
2013-02-01,527914,230567,316382
2013-03-01,593001,261608,354313
2013-04-01,577811,252302,341098
2013-05-01,445063,192378,269677
2013-06-01,478213,209070,287164
2013-07-01,501467,218066,299093
2013-08-01,357507,152453,211305
2013-09-01,558910,245685,319460
2013-10-01,639261,275937,361686
2013-11-01,614566,267181,349817
2013-12-01,642785,277087,365705
2014-01-01,597110,260230,338327
2014-02-01,537724,234430,305201
2014-03-01,618150,269012,348052
2014-04-01,580606,252672,332636
2014-05-01,577177,255663,326365
2014-06-01,574816,252664,324321
2014-07-01,680808,297961,383351
2014-08-01,553932,243606,315976
2014-09-01,627855,272518,356335
2014-10-01,616037,266855,344393
2014-11-01,539705,232795,304503
2014-12-01,640924,277662,362025
2015-01-01,652073,280998,364895
2015-02-01,557270,241525,313857
2015-03-01,669593,293208,378399
2015-04-01,598907,260152,339667
2015-05-01,574645,251305,325187
2015-06-01,633874,277900,358560
2015-07-01,695552,304422,392262
2015-08-01,589387,259326,334244
2015-09-01,611691,263864,346284
2015-10-01,719710,310917,408647
2015-11-01,691136,297651,387333
2015-12-01,744196,321648,420708
2016-01-01,683823,300084,389899
2016-02-01,710270,308866,399673
2016-03-01,751258,329029,423024
2016-04-01,613249,265914,348540
2016-05-01,707325,306390,396435
2016-06-01,702716,306037,399564
2016-07-01,790590,346477,443653
2016-08-01,665347,290544,382539
2016-09-01,779251,339091,434520
2016-10-01,808721,349516,454926
2016-11-01,804948,349242,445698
2016-12-01,831590,365225,467183
2017-01-01,798373,346346,446060
2017-02-01,752205,329866,417253
2017-03-01,821990,358861,458774
2017-04-01,747528,328580,418530
2017-05-01,703352,310778,395985
2017-06-01,731124,321671,409823
2017-07-01,746944,327751,418677
2017-08-01,628918,275594,351380
2017-09-01,748629,333206,419978
2017-10-01,870998,385406,479834
2017-11-01,805945,358596,447709
2017-12-01,823434,369068,454003
2018-01-01,760229,339976,420879
2018-02-01,675944,302001,373422
2018-03-01,820712,369137,454219
2018-04-01,788612,352397,438215
2018-05-01,765216,343755,424894
2018-06-01,742573,334184,415167
2018-07-01,838014,379276,468821
2018-08-01,742988,333324,410764
2018-09-01,698377,305492,395255
2018-10-01,786770,338867,439018
2018-11-01,820507,351370,457319
2018-12-01,846481,368101,474143
2019-01-01,829640,359742,468249
2019-02-01,635526,277382,355219
2019-03-01,722433,313282,402932
2019-04-01,808945,353144,453107
2019-05-01,815509,354617,457464
2019-06-01,733698,318648,411993
2019-07-01,854510,373755,477937
2019-08-01,829778,362351,465424
2019-09-01,767666,335473,433659
2019-10-01,882301,382839,492117
2019-11-01,829303,360183,460318
2019-12-01,899331,395209,502166
2020-01-01,854686,375307,476979
2020-02-01,812633,352268,442417
2020-03-01,881384,386965,495163
2020-04-01,845459,370176,469844
2020-05-01,855008,375880,478649
2020-06-01,864559,382121,488722
2020-07-01,806868,355098,448268
2020-08-01,830335,363424,465059
2020-09-01,785725,339884,449729
2020-10-01,931060,400909,531444
2020-11-01,917992,395613,523140
2020-12-01,904577,397850,517016
2021-01-01,915553,394315,519645
2021-02-01,797438,346410,453936
2021-03-01,957952,416849,545150
2021-04-01,901911,391000,516474
2021-05-01,820250,357446,468587
2021-06-01,829846,362131,472034
2021-07-01,832114,362458,473390
2021-08-01,661968,287295,382007
2021-09-01,778402,320564,458105
2021-10-01,876127,360223,523066
2021-11-01,781105,325474,464977
2021-12-01,704696,293945,422998
2022-01-01,651282,271629,386822
2022-02-01,629153,262732,377783
2022-03-01,739879,308449,442852
2022-04-01,706762,293812,421551
2022-05-01,591780,247535,355774
2022-06-01,660215,276389,393390
2022-07-01,773998,324439,463116
2022-08-01,632962,261540,383164
2022-09-01,793876,331683,470097
2022-10-01,885331,366915,525999
2022-11-01,877405,361145,516072
2022-12-01,826445,345687,485798
2023-01-01,875315,364031,525748
2023-02-01,812001,336866,481939
2023-03-01,922944,384817,545922
2023-04-01,886489,371693,523157
2023-05-01,769942,323217,460526
2023-06-01,717036,300078,421928
2023-07-01,961683,402886,567153
2023-08-01,829490,347606,491813
2023-09-01,922108,390460,540166
2023-10-01,974376,411664,566098
2023-11-01,908261,386867,526448
2023-12-01,943302,402183,549331
2024-01-01,936593,398507,541335
2024-02-01,897790,382013,522380
2024-03-01,961355,410916,554201
2024-04-01,957639,412867,555628
