Month,loan ,cost ,exchange rate ,credit ,jobs ,inflation ,bills ,gdp 
2013-05-01,48,57,34,70,75,15,9,33
2013-06-01,50,56,37,66,68,14,8,28
2013-07-01,56,57,42,71,73,13,9,23
2013-08-01,58,57,43,70,73,12,13,22
2013-09-01,51,57,40,65,74,16,16,33
2013-10-01,45,57,36,63,69,17,14,43
2013-11-01,42,56,32,61,67,17,15,41
2013-12-01,39,53,41,64,57,17,14,33
2014-01-01,51,62,55,72,77,22,9,49
2014-02-01,49,64,56,70,81,19,9,55
2014-03-01,53,63,55,77,79,21,10,48
2014-04-01,54,65,57,74,79,21,10,46
2014-05-01,55,63,52,74,79,18,11,43
2014-06-01,54,63,50,71,77,18,12,38
2014-07-01,59,65,50,74,75,15,11,30
2014-08-01,59,63,48,74,78,14,14,23
2014-09-01,58,63,47,71,77,18,18,43
2014-10-01,51,62,53,69,73,19,16,47
2014-11-01,47,64,56,66,67,21,17,48
2014-12-01,44,55,60,66,58,20,14,40
2015-01-01,57,67,80,67,80,23,11,55
2015-02-01,62,66,94,72,82,23,10,58
2015-03-01,63,68,88,74,83,22,13,51
2015-04-01,62,71,86,76,76,22,11,51
2015-05-01,55,66,73,71,82,19,11,43
2015-06-01,57,67,77,69,76,18,11,43
2015-07-01,63,69,99,77,79,17,10,49
2015-08-01,61,68,92,71,75,16,15,38
2015-09-01,61,65,78,68,79,18,22,50
2015-10-01,52,66,75,66,76,20,16,57
2015-11-01,53,67,71,65,73,23,16,50
2015-12-01,49,62,84,68,61,23,14,45
2016-01-01,60,73,100,69,84,24,12,62
2016-02-01,59,67,90,68,82,21,11,62
2016-03-01,62,73,94,73,82,21,9,57
2016-04-01,61,72,92,72,80,21,10,52
2016-05-01,58,72,79,71,78,17,9,42
2016-06-01,59,72,90,69,76,16,9,45
2016-07-01,60,70,72,69,70,15,10,31
2016-08-01,65,69,68,68,72,13,12,28
2016-09-01,61,69,63,66,75,18,17,44
2016-10-01,56,68,57,65,70,19,18,54
2016-11-01,60,71,81,64,68,23,14,55
2016-12-01,52,64,61,66,57,21,15,46
2017-01-01,64,73,67,79,75,22,12,67
2017-02-01,66,73,59,72,74,22,10,66
2017-03-01,66,77,62,77,76,23,11,55
2017-04-01,63,75,63,77,68,23,11,53
2017-05-01,64,70,63,71,73,19,10,50
2017-06-01,62,71,60,73,70,19,11,45
2017-07-01,64,76,84,78,66,16,10,36
2017-08-01,70,74,76,78,68,15,15,31
2017-09-01,67,71,75,79,68,18,18,49
2017-10-01,57,71,60,72,68,20,19,53
2017-11-01,58,72,60,74,61,22,18,50
2017-12-01,52,67,57,71,53,20,22,46
2018-01-01,66,76,66,79,74,26,23,61
2018-02-01,68,74,62,76,68,25,11,59
2018-03-01,68,79,66,86,70,23,12,52
2018-04-01,68,76,68,86,67,23,14,56
2018-05-01,65,76,57,82,71,20,11,48
2018-06-01,64,72,62,78,70,19,10,57
2018-07-01,68,75,59,81,70,18,11,51
2018-08-01,72,78,60,79,71,20,16,42
2018-09-01,70,75,54,73,69,24,23,51
2018-10-01,67,77,56,73,67,25,20,57
2018-11-01,60,74,52,73,65,24,16,57
2018-12-01,53,70,52,68,57,22,17,52
2019-01-01,68,79,57,76,74,24,12,59
2019-02-01,70,73,51,78,73,22,12,60
2019-03-01,79,82,53,88,76,23,13,54
2019-04-01,78,76,54,89,76,23,13,56
2019-05-01,70,79,50,82,77,20,11,47
2019-06-01,68,78,50,76,70,19,11,44
2019-07-01,71,79,51,82,66,19,10,39
2019-08-01,79,78,54,81,71,17,15,40
2019-09-01,78,78,46,80,73,21,28,54
2019-10-01,70,77,45,78,70,22,23,63
2019-11-01,67,79,42,75,71,22,24,55
2019-12-01,67,76,42,76,62,22,30,54
2020-01-01,77,84,43,78,82,23,20,57
2020-02-01,83,83,46,81,78,25,11,62
2020-03-01,97,68,66,81,60,21,12,62
2020-04-01,100,65,48,78,44,23,12,71
2020-05-01,86,73,40,74,57,21,10,54
2020-06-01,87,80,45,78,68,19,9,49
2020-07-01,85,89,40,78,66,21,9,50
2020-08-01,86,85,38,72,67,21,9,44
2020-09-01,86,81,34,75,67,21,18,51
2020-10-01,86,79,34,74,65,23,25,56
2020-11-01,76,74,37,68,59,21,21,51
2020-12-01,78,75,39,69,50,24,30,43
2021-01-01,81,76,40,71,65,24,55,48
2021-02-01,78,83,39,73,64,30,11,58
2021-03-01,80,84,43,77,60,31,12,54
2021-04-01,72,80,42,76,57,30,9,46
2021-05-01,64,77,46,67,55,37,10,41
2021-06-01,68,77,41,68,55,36,10,41
2021-07-01,62,80,40,72,55,26,10,35
2021-08-01,67,80,37,76,58,25,13,33
2021-09-01,71,78,38,72,60,31,18,46
2021-10-01,63,84,44,71,61,46,29,52
2021-11-01,61,79,41,75,55,49,23,47
2021-12-01,59,75,41,72,51,42,26,44
2022-01-01,75,79,38,74,61,63,48,66
2022-02-01,78,86,39,81,64,66,11,100
2022-03-01,77,100,50,90,68,75,15,99
2022-04-01,78,97,49,88,64,71,13,83
2022-05-01,70,92,47,81,62,72,12,60
2022-06-01,81,92,49,79,65,100,10,56
2022-07-01,76,89,50,86,61,79,11,56
2022-08-01,93,93,50,85,69,69,20,48
2022-09-01,81,85,54,79,66,80,42,59
2022-10-01,76,86,54,81,60,83,38,71
2022-11-01,75,82,49,74,59,82,40,62
2022-12-01,67,81,45,71,55,75,34,54
2023-01-01,77,91,49,83,70,82,100,72
2023-02-01,79,92,46,87,69,77,12,75
2023-03-01,84,98,56,100,77,71,14,68
2023-04-01,86,96,54,94,68,63,12,64
2023-05-01,84,91,48,81,69,55,12,58
2023-06-01,94,94,50,86,69,63,12,57
2023-07-01,86,95,47,85,65,63,11,58
2023-08-01,88,94,48,85,68,60,19,58
2023-09-01,85,95,43,79,69,62,34,69
2023-10-01,77,91,43,80,67,63,42,77
2023-11-01,80,91,45,76,66,64,37,71
2023-12-01,84,90,42,76,60,52,37,64
2024-01-01,92,97,45,78,75,59,84,74
2024-02-01,85,97,39,81,73,63,12,85
2024-03-01,79,97,41,87,69,57,14,74
2024-04-01,82,96,45,89,72,55,16,78
2024-05-01,81,90,37,78,73,53,14,66
2024-06-01,76,96,38,76,67,42,12,68
