Date,"Milk sold off farms, total",Fluid purposes,Industrial purposes
November 1992,524721,225554,291808
December 1992,559971,238837,313593
January 1993,563098,232124,324463
February 1993,514963,214505,293878
March 1993,577938,237127,332830
April 1993,578290,227913,341953
May 1993,609181,221455,378590
June 1993,595662,216271,369176
July 1993,583815,219794,354740
August 1993,575211,214934,354587
September 1993,548761,227831,316147
October 1993,543281,232394,307251
November 1993,530148,234270,292765
December 1993,568689,231616,334393
January 1994,578009,234232,341400
February 1994,529989,214238,313580
March 1994,601233,245053,353539
April 1994,601055,222653,375870
May 1994,631217,228330,399973
June 1994,616348,223445,389667
July 1994,602676,216588,383353
August 1994,594459,224201,367561
September 1994,566500,235696,328406
October 1994,573691,238777,332968
November 1994,552096,229987,320399
December 1994,589040,238399,349203
January 1995,602711,230585,370679
February 1995,549547,212823,335202
March 1995,614437,237628,375276
April 1995,601763,217336,382907
May 1995,632163,230540,399640
June 1995,616598,219863,394467
July 1995,610083,207902,400166
August 1995,610905,227088,381896
September 1995,587327,229817,355842
October 1995,589875,236320,351994
November 1995,572565,230363,340999
December 1995,609115,233540,374529
January 1996,616564,234518,380885
February 1996,580948,223195,356784
March 1996,629265,234458,393748
April 1996,616199,228177,386733
May 1996,633432,229933,402169
June 1996,612844,211599,399787
July 1996,597435,216922,378831
August 1996,589315,227387,360559
September 1996,567137,221977,343873
October 1996,572225,240834,330200
November 1996,557837,236149,320806
December 1996,599002,234919,363221
January 1997,615241,240967,373535
February 1997,565141,214594,349897
March 1997,634179,234168,399265
April 1997,627491,225779,400803
May 1997,657065,234283,421823
June 1997,644642,213537,429810
July 1997,639848,218220,420276
August 1997,627418,224311,402080
September 1997,597861,228811,367949
October 1997,606438,239385,365781
November 1997,584391,222626,361050
December 1997,621661,238596,382303
January 1998,633854,239498,393716
February 1998,580551,211862,368089
March 1998,645414,232535,412206
April 1998,632743,223014,408986
May 1998,666189,223919,441443
June 1998,641799,224351,416441
July 1998,642014,223713,417424
August 1998,629785,222318,406644
September 1998,605194,231964,372417
October 1998,614927,242776,371414
November 1998,595300,230998,363689
December 1998,633279,250927,381714
January 1999,642467,234551,407400
February 1999,589669,215044,374145
March 1999,660129,240205,419341
April 1999,648312,230805,416910
May 1999,676006,225448,449891
June 1999,643658,223116,419751
July 1999,640703,228391,411602
August 1999,633856,231018,402119
September 1999,604090,236461,366972
October 1999,614615,239912,374082
November 1999,599691,242716,356415
December 1999,636305,250409,385386
January 2000,645517,233201,411861
February 2000,607427,230613,376344
March 2000,654776,245699,408558
April 2000,634304,227295,406508
May 2000,655108,239814,414653
June 2000,628098,233511,393938
July 2000,624835,219540,404736
August 2000,619370,236186,382536
September 2000,599226,235268,363311
October 2000,614492,244078,369776
November 2000,592401,239304,352660
December 2000,623059,244697,377984
January 2001,639603,240787,398416
February 2001,584385,221051,363021
March 2001,652556,246450,405723
April 2001,639621,228506,410715
May 2001,670631,239978,430135
June 2001,631033,224458,406016
July 2001,635280,224237,410485
August 2001,629684,240041,389161
September 2001,608464,226501,381519
October 2001,622854,247653,374710
November 2001,607744,240545,366812
December 2001,634543,242591,391560
January 2002,653393,236343,416708
February 2002,591857,218527,373025
March 2002,653353,240719,412299
April 2002,633641,231863,401409
May 2002,637730,239232,398078
June 2002,609016,217630,390937
July 2002,605734,223972,381301
August 2002,597771,234561,362793
September 2002,576692,229444,346880
October 2002,598193,246210,351579
November 2002,589200,239777,349114
December 2002,629169,241365,387465
January 2003,642069,239471,402303
February 2003,577959,219898,357789
March 2003,640124,237959,401888
April 2003,623175,233957,388878
May 2003,651433,237014,414042
June 2003,631602,221555,409607
July 2003,640220,224951,414812
August 2003,627412,229758,397243
September 2003,610139,235616,374110
October 2003,625060,248079,376593
November 2003,609843,230110,379435
December 2003,643640,249912,393574
January 2004,652657,241307,411297
February 2004,614986,223036,391893
March 2004,663216,244474,418671
April 2004,645780,235039,410679
May 2004,668403,232561,435759
June 2004,642103,227571,414451
July 2004,647341,229003,418248
August 2004,640425,228765,411562
September 2004,615030,235394,379565
October 2004,630577,240802,389710
November 2004,612387,243696,368625
December 2004,641808,250563,391197
January 2005,650630,239785,410784
February 2005,591871,220768,371056
March 2005,656254,243433,412774
April 2005,639020,232411,406559
May 2005,660203,238460,421683
June 2005,631997,229704,402230
July 2005,635309,225338,409921
August 2005,636459,247130,389265
September 2005,608725,251611,357071
October 2005,623734,250798,372886
November 2005,606366,248234,358101
December 2005,638560,259037,379499
January 2006,652032,249346,402666
February 2006,589938,229778,360158
March 2006,648832,257328,391500
April 2006,623768,237338,386427
May 2006,639954,252511,387440
June 2006,610668,242141,368523
July 2006,615138,231811,383326
August 2006,618529,251067,367460
September 2006,598000,245766,352234
October 2006,612929,257370,355559
November 2006,597868,253234,344634
December 2006,627493,258790,368703
January 2007,635204,255424,379780
February 2007,571520,232447,339073
March 2007,635338,255876,379462
April 2007,626525,241156,385370
May 2007,658945,251187,407758
June 2007,640858,240205,400653
July 2007,653504,237935,415569
August 2007,646987,256546,390441
September 2007,618472,236593,381879
October 2007,633545,267043,366502
November 2007,618673,258134,360540
December 2007,647391,257471,389920
January 2008,659566,254068,405499
February 2008,617224,245833,371390
March 2008,656048,251630,404418
April 2008,636256,249773,386483
May 2008,655982,255943,400039
June 2008,628102,238847,389256
July 2008,634820,242740,392080
August 2008,627469,248667,378802
September 2008,604720,249647,355073
October 2008,620364,264889,355475
November 2008,607060,250094,356967
December 2008,637351,265748,371603
January 2009,645482,256068,389414
February 2009,587891,233555,354336
March 2009,653421,253096,400325
April 2009,637310,250884,386427
May 2009,661109,252535,408575
June 2009,640120,245020,395100
July 2009,651895,247759,404135
August 2009,642956,243772,399184
September 2009,624689,249449,375240
October 2009,636799,259278,377520
November 2009,622529,250035,372494
December 2009,649021,266970,382051
January 2010,657474,250311,407162
February 2010,595253,234598,360655
March 2010,658897,263004,395893
April 2010,641358,250898,390460
May 2010,662492,249994,412498
June 2010,635898,242634,393264
July 2010,641278,242756,398522
August 2010,648002,246162,401840
September 2010,622732,255327,367405
October 2010,636315,259102,377213
November 2010,620455,256277,364178
December 2010,645864,266494,379370
January 2011,654562,247947,406615
February 2011,595777,232655,363122
March 2011,660707,255676,405030
April 2011,641074,246962,394112
May 2011,666633,247858,418775
June 2011,647145,241223,405922
July 2011,660564,234109,426455
August 2011,660022,249450,410572
September 2011,634338,248891,385448
October 2011,647277,253281,393996
November 2011,631184,257218,373965
December 2011,665048,258524,406524
January 2012,677867,248615,429252
February 2012,638411,234691,403721
March 2012,682368,253763,428605
April 2012,660423,239820,420603
May 2012,681284,250021,431263
June 2012,654897,237981,416916
July 2012,668852,231453,437400
August 2012,668395,245892,422503
September 2012,644880,241020,403861
October 2012,664413,254155,410257
November 2012,647910,249637,398273
December 2012,674730,252497,422232
January 2013,676733,246045,430688
February 2013,611131,226566,384565
March 2013,673937,243562,430375
April 2013,650343,241392,408951
May 2013,670772,245177,425595
June 2013,643151,231509,411642
July 2013,650508,230820,419689
August 2013,660770,242848,417922
September 2013,635911,233323,402588
October 2013,654027,253763,400264
November 2013,629894,247129,382766
December 2013,649594,252759,396835
January 2014,654797,246753,408044
February 2014,594501,224586,369915
March 2014,656299,240205,416094
April 2014,639068,239632,399436
May 2014,664041,242024,422016
June 2014,647366,227323,420043
July 2014,666035,228400,437634
August 2014,669194,234169,435025
September 2014,650558,237869,412689
October 2014,663106,251039,412067
November 2014,640706,235708,404998
December 2014,666669,247114,419556
January 2015,674114,235934,438181
February 2015,612398,220533,391866
March 2015,688090,243132,444957
April 2015,676218,234079,442139
May 2015,708672,234585,474087
June 2015,687793,233503,454290
July 2015,702025,230336,471689
August 2015,694270,229171,465099
September 2015,667289,234000,433288
October 2015,684176,249031,435145
November 2015,665876,239125,426752
December 2015,699147,253139,446009
January 2016,710978,233925,477053
February 2016,670355,229911,440444
March 2016,716555,242939,473616
April 2016,694262,233622,460640
May 2016,720165,235258,484907
June 2016,693913,230158,463755
July 2016,709891,225562,484329
August 2016,710262,232659,477603
September 2016,689893,235547,454346
October 2016,711751,242424,469327
November 2016,696300,236710,459590
December 2016,716538,253633,462905
January 2017,745469,230274,515195
February 2017,681675,216105,465569
March 2017,760846,242229,518617
April 2017,742062,229675,512387
May 2017,769255,235248,534007
June 2017,740095,234027,506068
July 2017,760624,220443,540181
August 2017,761382,234446,526935
September 2017,736276,230562,505713
October 2017,759760,239655,520105
November 2017,739596,240077,499519
December 2017,771574,247524,524050
January 2018,785660,229683,555976
February 2018,721539,212244,509295
March 2018,802381,237377,565004
April 2018,773719,223174,550545
May 2018,802170,231004,571166
June 2018,774659,222558,552101
July 2018,778090,218153,559936
August 2018,773622,235222,538400
September 2018,743579,225026,518553
October 2018,758775,240857,517919
November 2018,735546,240176,495370
December 2018,769014,237132,531882
January 2019,782361,234302,548059
February 2019,711084,214748,496337
March 2019,789767,227381,562386
April 2019,766512,230478,536035
May 2019,787102,234874,552229
June 2019,759191,211056,548136
July 2019,775664,221424,554239
August 2019,779355,225684,553672
September 2019,756083,223607,532476
October 2019,775748,242274,533474
November 2019,748373,231450,516923
December 2019,779213,236223,542989
January 2020,791677,235618,556059
February 2020,746028,211410,534618
March 2020,800901,248802,552099
April 2020,746271,232935,513336
May 2020,770407,225241,545166
June 2020,759657,220960,538696
July 2020,787978,226602,561376
August 2020,792532,216786,575745
September 2020,768803,226349,542454
October 2020,789639,236443,553197
November 2020,770726,232544,538182
December 2020,806498,247091,559406
January 2021,813631,224256,589375
February 2021,733243,212399,520845
March 2021,810282,238700,571582
April 2021,786181,220768,565413
May 2021,810347,221242,589105
June 2021,789832,213532,576299
July 2021,815331,208993,606338
August 2021,807644,216331,591312
September 2021,774264,221627,552637
October 2021,789249,221492,567756
November 2021,760978,229492,531486
December 2021,775290,235584,539707
January 2022,789246,221696,567550
February 2022,718551,205530,513021
March 2022,794679,229490,565189
April 2022,782117,215019,567098
May 2022,817892,215418,602474
June 2022,788008,212953,575054
July 2022,809262,205888,603374
August 2022,807005,217323,589682
September 2022,782309,220421,561888
October 2022,806528,220611,585917
November 2022,779985,225409,554576
December 2022,804030,228635,575394
January 2023,809797,222584,587213
February 2023,732993,202230,530764
March 2023,805134,230539,574596
April 2023,792917,204847,588070
May 2023,821111,226143,594969
June 2023,801332,213502,587830
July 2023,826517,210209,616308
August 2023,813780,225923,587856
September 2023,777980,217682,560297
October 2023,796500,228467,568033
November 2023,763330,228702,534628
December 2023,789750,229928,559822
January 2024,803098,229835,573263
February 2024,760581,212542,548039
