index,"Milk sold off farms, total",Fluid purposes,Industrial purposes
1992-10-01,0.11228872041443871,0.6388687454677302,0.01686286594761166
1992-11-01,0.03132041315470202,0.3598660762501349,0.0
1992-12-01,0.14446291814581103,0.5648095289525248,0.06713405238828962
1993-01-01,0.15449970149636982,0.4612346288553222,0.10063174114021567
1993-02-01,0.0,0.18939101723419682,0.00637904468412942
1993-03-01,0.20213189366851347,0.5384259330689831,0.1264160246533128
1993-04-01,0.20326171386019776,0.39626309536667037,0.15453004622496147
1993-05-01,0.3024130648298531,0.29662259114683787,0.2674329738058552
1993-06-01,0.25902090809297906,0.2166386373104161,0.23842218798151005
1993-07-01,0.22099539726660544,0.27099501643188884,0.1939352850539291
1993-08-01,0.19337899689941396,0.1960100597102432,0.19346379044684126
1993-09-01,0.10848199670041159,0.39499791708453547,0.07500462249614792
