STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
GEM,M,3,SNOW WC,20000901 0000,20000901 0000,---, ,INCHES
GEM,M,3,SNOW WC,20010101 0000,20010101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20010201 0000,20010130 0000,10.00, ,INCHES
GEM,M,3,SNOW WC,20010301 0000,20010227 0000,20.80, ,INCHES
GEM,M,3,SNOW WC,20010401 0000,20010326 0000,26.30, ,INCHES
GEM,M,3,SNOW WC,20010501 0000,20010501 0000,---, ,INCHES
GEM,M,3,SNOW WC,20010601 0000,20010601 0000,---, ,INCHES
GEM,M,3,SNOW WC,20020101 0000,20020101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20020201 0000,20020201 0000,---, ,INCHES
GEM,M,3,SNOW WC,20020301 0000,20020305 0000,27.20, ,INCHES
GEM,M,3,SNOW WC,20020401 0000,20020326 0000,31.10,r,INCHES
GEM,M,3,SNOW WC,20020501 0000,20020501 0000,10.20, ,INCHES
GEM,M,3,SNOW WC,20020601 0000,20020601 0000,---, ,INCHES
GEM,M,3,SNOW WC,20030101 0000,20030101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20030201 0000,20030201 0000,---, ,INCHES
GEM,M,3,SNOW WC,20030301 0000,20030226 0000,24.90, ,INCHES
GEM,M,3,SNOW WC,20030401 0000,20030325 0000,26.00, ,INCHES
GEM,M,3,SNOW WC,20030501 0000,20030430 0000,25.80, ,INCHES
GEM,M,3,SNOW WC,20030601 0000,20030601 0000,---, ,INCHES
GEM,M,3,SNOW WC,20040101 0000,20040101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20040201 0000,20040201 0000,---, ,INCHES
GEM,M,3,SNOW WC,20040301 0000,20040303 0000,33.40, ,INCHES
GEM,M,3,SNOW WC,20040401 0000,20040329 0000,28.90, ,INCHES
GEM,M,3,SNOW WC,20040501 0000,20040501 0000,---, ,INCHES
GEM,M,3,SNOW WC,20040601 0000,20040601 0000,---, ,INCHES
GEM,M,3,SNOW WC,20050101 0000,20050101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20050201 0000,20050124 0000,39.50, ,INCHES
GEM,M,3,SNOW WC,20050301 0000,20050224 0000,46.70,r,INCHES
GEM,M,3,SNOW WC,20050401 0000,20050405 0000,53.00,r,INCHES
GEM,M,3,SNOW WC,20050501 0000,20050501 0000,---, ,INCHES
GEM,M,3,SNOW WC,20050601 0000,20050601 0000,---, ,INCHES
GEM,M,3,SNOW WC,20060101 0000,20060101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20060201 0000,20060201 0000,---, ,INCHES
GEM,M,3,SNOW WC,20060301 0000,20060304 0000,39.40, ,INCHES
GEM,M,3,SNOW WC,20060401 0000,20060327 0000,44.60, ,INCHES
GEM,M,3,SNOW WC,20060501 0000,20060501 0000,---, ,INCHES
GEM,M,3,SNOW WC,20060601 0000,20060601 0000,---, ,INCHES
GEM,M,3,SNOW WC,20070101 0000,20070101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20070201 0000,20070201 0000,---, ,INCHES
GEM,M,3,SNOW WC,20070301 0000,20070301 0000,---, ,INCHES
GEM,M,3,SNOW WC,20070401 0000,20070330 0000,14.50, ,INCHES
GEM,M,3,SNOW WC,20070501 0000,20070501 0000,---, ,INCHES
GEM,M,3,SNOW WC,20070601 0000,20070601 0000,---, ,INCHES
GEM,M,3,SNOW WC,20080101 0000,20080101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20080201 0000,20080201 0000,---, ,INCHES
GEM,M,3,SNOW WC,20080301 0000,20080301 0000,---, ,INCHES
GEM,M,3,SNOW WC,20080401 0000,20080325 0000,37.00,r,INCHES
GEM,M,3,SNOW WC,20080501 0000,20080501 0000,---, ,INCHES
GEM,M,3,SNOW WC,20080601 0000,20080601 0000,---, ,INCHES
GEM,M,3,SNOW WC,20090101 0000,20090101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20090201 0000,20090201 0000,---, ,INCHES
GEM,M,3,SNOW WC,20090301 0000,20090226 0000,26.00, ,INCHES
GEM,M,3,SNOW WC,20090401 0000,20090325 0000,34.50, ,INCHES
GEM,M,3,SNOW WC,20090501 0000,20090501 0000,---, ,INCHES
GEM,M,3,SNOW WC,20090601 0000,20090601 0000,---, ,INCHES
GEM,M,3,SNOW WC,20100101 0000,20100101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20100201 0000,20100202 0000,24.10, ,INCHES
GEM,M,3,SNOW WC,20100301 0000,20100225 0000,32.00, ,INCHES
GEM,M,3,SNOW WC,20100401 0000,20100406 0000,40.80, ,INCHES
GEM,M,3,SNOW WC,20100501 0000,20100501 0000,---, ,INCHES
GEM,M,3,SNOW WC,20100601 0000,20100601 0000,---, ,INCHES
GEM,M,3,SNOW WC,20110101 0000,20110101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20110201 0000,20110126 0000,28.60, ,INCHES
GEM,M,3,SNOW WC,20110301 0000,20110304 0000,45.40, ,INCHES
GEM,M,3,SNOW WC,20110401 0000,20110330 0000,58.80, ,INCHES
GEM,M,3,SNOW WC,20110501 0000,20110501 0000,---, ,INCHES
GEM,M,3,SNOW WC,20110601 0000,20110601 0000,---, ,INCHES
GEM,M,3,SNOW WC,20120101 0000,20120101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20120201 0000,20120202 0000,5.40, ,INCHES
GEM,M,3,SNOW WC,20120301 0000,20120302 0000,7.90, ,INCHES
GEM,M,3,SNOW WC,20120401 0000,20120330 0000,14.60, ,INCHES
GEM,M,3,SNOW WC,20120501 0000,20120501 0000,---, ,INCHES
GEM,M,3,SNOW WC,20120601 0000,20120601 0000,---, ,INCHES
GEM,M,3,SNOW WC,20130101 0000,20130101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20130201 0000,20130130 0000,23.30, ,INCHES
GEM,M,3,SNOW WC,20130301 0000,20130228 0000,23.50, ,INCHES
GEM,M,3,SNOW WC,20130401 0000,20130328 0000,23.90, ,INCHES
GEM,M,3,SNOW WC,20130501 0000,20130501 0000,---, ,INCHES
GEM,M,3,SNOW WC,20130601 0000,20130601 0000,---, ,INCHES
GEM,M,3,SNOW WC,20140101 0000,20140101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20140201 0000,20140128 0000,2.00, ,INCHES
GEM,M,3,SNOW WC,20140301 0000,20140225 0000,7.00, ,INCHES
GEM,M,3,SNOW WC,20140401 0000,20140403 0000,17.00, ,INCHES
GEM,M,3,SNOW WC,20140501 0000,20140501 0000,---, ,INCHES
GEM,M,3,SNOW WC,20140601 0000,20140601 0000,---, ,INCHES
GEM,M,3,SNOW WC,20150101 0000,20150101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20150201 0000,20150127 0000,5.50, ,INCHES
GEM,M,3,SNOW WC,20150301 0000,20150225 0000,10.50, ,INCHES
GEM,M,3,SNOW WC,20150401 0000,20150331 0000,8.50, ,INCHES
GEM,M,3,SNOW WC,20150501 0000,20150501 0000,---, ,INCHES
GEM,M,3,SNOW WC,20150601 0000,20150601 0000,---, ,INCHES
GEM,M,3,SNOW WC,20160101 0000,20160101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20160201 0000,20160128 0000,15.50, ,INCHES
GEM,M,3,SNOW WC,20160301 0000,20160225 0000,20.00, ,INCHES
GEM,M,3,SNOW WC,20160401 0000,20160330 0000,25.50, ,INCHES
GEM,M,3,SNOW WC,20160501 0000,20160501 0000,---, ,INCHES
GEM,M,3,SNOW WC,20160601 0000,20160601 0000,---, ,INCHES
GEM,M,3,SNOW WC,20170101 0000,20170101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20170201 0000,20170131 0000,43.00, ,INCHES
GEM,M,3,SNOW WC,20170301 0000,20170302 0000,66.00, ,INCHES
GEM,M,3,SNOW WC,20170401 0000,20170329 0000,69.00, ,INCHES
GEM,M,3,SNOW WC,20170501 0000,20170501 0000,---, ,INCHES
GEM,M,3,SNOW WC,20170601 0000,20170601 0000,---, ,INCHES
GEM,M,3,SNOW WC,20180101 0000,20180101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20180201 0000,20180130 0000,10.00, ,INCHES
GEM,M,3,SNOW WC,20180301 0000,20180306 0000,17.00, ,INCHES
GEM,M,3,SNOW WC,20180401 0000,20180329 0000,26.00, ,INCHES
GEM,M,3,SNOW WC,20180501 0000,20180501 0000,---, ,INCHES
GEM,M,3,SNOW WC,20180601 0000,20180601 0000,---, ,INCHES
GEM,M,3,SNOW WC,20190101 0000,20190101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20190201 0000,20190130 0000,19.00, ,INCHES
GEM,M,3,SNOW WC,20190301 0000,20190304 0000,45.50, ,INCHES
GEM,M,3,SNOW WC,20190401 0000,20190403 0000,54.50, ,INCHES
GEM,M,3,SNOW WC,20190501 0000,20190501 0000,---, ,INCHES
GEM,M,3,SNOW WC,20190601 0000,20190601 0000,---, ,INCHES
GEM,M,3,SNOW WC,20200101 0000,20200101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20200201 0000,20200129 0000,11.00, ,INCHES
GEM,M,3,SNOW WC,20200301 0000,20200226 0000,10.00, ,INCHES
GEM,M,3,SNOW WC,20200401 0000,20200401 0000,18.50, ,INCHES
GEM,M,3,SNOW WC,20200501 0000,20200501 0000,---, ,INCHES
GEM,M,3,SNOW WC,20200601 0000,20200601 0000,---, ,INCHES
GEM,M,3,SNOW WC,20210101 0000,20210101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20210201 0000,20210201 0000,---, ,INCHES
GEM,M,3,SNOW WC,20210301 0000,20210224 0000,15.00, ,INCHES
GEM,M,3,SNOW WC,20210401 0000,20210401 0000,---, ,INCHES
GEM,M,3,SNOW WC,20210501 0000,20210501 0000,---, ,INCHES
GEM,M,3,SNOW WC,20210601 0000,20210601 0000,---, ,INCHES
GEM,M,3,SNOW WC,20220101 0000,20220101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20220201 0000,20220127 0000,21.00, ,INCHES
GEM,M,3,SNOW WC,20220301 0000,20220301 0000,---, ,INCHES
GEM,M,3,SNOW WC,20220401 0000,20220330 0000,20.00, ,INCHES
GEM,M,3,SNOW WC,20220501 0000,20220501 0000,---, ,INCHES
GEM,M,3,SNOW WC,20220601 0000,20220601 0000,---, ,INCHES
GEM,M,3,SNOW WC,20230101 0000,20230101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20230201 0000,20230201 0000,49.00, ,INCHES
GEM,M,3,SNOW WC,20230301 0000,20230301 0000,---, ,INCHES
GEM,M,3,SNOW WC,20230401 0000,20230327 0000,96.50, ,INCHES
GEM,M,3,SNOW WC,20230501 0000,20230501 0000,---, ,INCHES
GEM,M,3,SNOW WC,20230601 0000,20230601 0000,---, ,INCHES
GEM,M,3,SNOW WC,20240101 0000,20240101 0000,---, ,INCHES
GEM,M,3,SNOW WC,20240201 0000,20240131 0000,7.00, ,INCHES
GEM,M,3,SNOW WC,20240301 0000,20240228 0000,21.50, ,INCHES
GEM,M,3,SNOW WC,20240401 0000,20240402 0000,34.50, ,INCHES
GEM,M,3,SNOW WC,20240501 0000,20240501 0000,---, ,INCHES
GEM,M,3,SNOW WC,20240601 0000,20240601 0000,---, ,INCHES
SWM,M,3,SNOW WC,19860201 0000,19860128 0000,11.70,,INCHES
SWM,M,3,SNOW WC,19860301 0000,19860226 0000,32.40,,INCHES
SWM,M,3,SNOW WC,19860401 0000,19860326 0000,35.60,,INCHES
SWM,M,3,SNOW WC,19860501 0000,19860429 0000,32.10,,INCHES
SWM,M,3,SNOW WC,19870201 0000,19870129 0000,2.90,,INCHES
SWM,M,3,SNOW WC,19870301 0000,19870226 0000,5.90,,INCHES
SWM,M,3,SNOW WC,19870401 0000,19870330 0000,8.80,,INCHES
SWM,M,3,SNOW WC,19870501 0000,19870429 0000,2.10,,INCHES
SWM,M,3,SNOW WC,19880201 0000,19880201 0000,11.30,,INCHES
SWM,M,3,SNOW WC,19880301 0000,19880225 0000,11.30,,INCHES
SWM,M,3,SNOW WC,19880401 0000,19880325 0000,10.20,,INCHES
SWM,M,3,SNOW WC,19880501 0000,19880505 0000,2.60,,INCHES
SWM,M,3,SNOW WC,19890201 0000,19890130 0000,9.40,,INCHES
SWM,M,3,SNOW WC,19890301 0000,19890304 0000,14.20,,INCHES
SWM,M,3,SNOW WC,19890401 0000,19890329 0000,14.90,,INCHES
SWM,M,3,SNOW WC,19890501 0000,19890501 0000,0.80,,INCHES
SWM,M,3,SNOW WC,19900101 0000,19900101 0000,---, ,INCHES
SWM,M,3,SNOW WC,19900201 0000,19900129 0000,6.10,,INCHES
SWM,M,3,SNOW WC,19900301 0000,19900222 0000,10.70,,INCHES
SWM,M,3,SNOW WC,19900401 0000,19900401 0000,9.10,,INCHES
SWM,M,3,SNOW WC,19900501 0000,19900427 0000,4.00,,INCHES
SWM,M,3,SNOW WC,19900601 0000,19900601 0000,---, ,INCHES
SWM,M,3,SNOW WC,19900701 0000,19900701 0000,---, ,INCHES
SWM,M,3,SNOW WC,19910201 0000,19910126 0000,1.70,,INCHES
SWM,M,3,SNOW WC,19910301 0000,19910306 0000,9.70,,INCHES
SWM,M,3,SNOW WC,19910401 0000,19910401 0000,15.80,,INCHES
SWM,M,3,SNOW WC,19910501 0000,19910428 0000,13.60,,INCHES
SWM,M,3,SNOW WC,19910601 0000,19910601 0000,---, ,INCHES
SWM,M,3,SNOW WC,19910701 0000,19910701 0000,---, ,INCHES
SWM,M,3,SNOW WC,19920101 0000,19920101 0000,---, ,INCHES
SWM,M,3,SNOW WC,19920201 0000,19920129 0000,5.20,,INCHES
SWM,M,3,SNOW WC,19920301 0000,19920301 0000,---, ,INCHES
SWM,M,3,SNOW WC,19920401 0000,19920331 0000,12.00,,INCHES
SWM,M,3,SNOW WC,19920501 0000,19920501 0000,---, ,INCHES
SWM,M,3,SNOW WC,19920601 0000,19920601 0000,---, ,INCHES
SWM,M,3,SNOW WC,19920701 0000,19920701 0000,---, ,INCHES
SWM,M,3,SNOW WC,19930101 0000,19930101 0000,---, ,INCHES
SWM,M,3,SNOW WC,19930201 0000,19930125 0000,20.40,,INCHES
SWM,M,3,SNOW WC,19930301 0000,19930304 0000,29.70,,INCHES
SWM,M,3,SNOW WC,19930401 0000,19930328 0000,33.20,,INCHES
SWM,M,3,SNOW WC,19930501 0000,19930428 0000,34.00,,INCHES
SWM,M,3,SNOW WC,19930601 0000,19930601 0000,---, ,INCHES
SWM,M,3,SNOW WC,19930701 0000,19930701 0000,---, ,INCHES
SWM,M,3,SNOW WC,19940101 0000,19940101 0000,---, ,INCHES
SWM,M,3,SNOW WC,19940201 0000,19940125 0000,5.80,,INCHES
SWM,M,3,SNOW WC,19940301 0000,19940302 0000,13.10,,INCHES
SWM,M,3,SNOW WC,19940401 0000,19940331 0000,14.60,,INCHES
SWM,M,3,SNOW WC,19940501 0000,19940425 0000,6.40,,INCHES
SWM,M,3,SNOW WC,19940601 0000,19940601 0000,---, ,INCHES
SWM,M,3,SNOW WC,19940701 0000,19940701 0000,---, ,INCHES
SWM,M,3,SNOW WC,19950101 0000,19950101 0000,---, ,INCHES
SWM,M,3,SNOW WC,19950201 0000,19950126 0000,19.80,,INCHES
SWM,M,3,SNOW WC,19950301 0000,19950226 0000,19.70,,INCHES
SWM,M,3,SNOW WC,19950401 0000,19950327 0000,32.00,,INCHES
SWM,M,3,SNOW WC,19950501 0000,19950428 0000,34.80,,INCHES
SWM,M,3,SNOW WC,19950601 0000,19950601 0000,---, ,INCHES
SWM,M,3,SNOW WC,19950701 0000,19950701 0000,---, ,INCHES
SWM,M,3,SNOW WC,19960101 0000,19960101 0000,---, ,INCHES
SWM,M,3,SNOW WC,19960201 0000,19960127 0000,9.70,,INCHES
SWM,M,3,SNOW WC,19960301 0000,19960225 0000,19.40,,INCHES
SWM,M,3,SNOW WC,19960401 0000,19960327 0000,23.40,,INCHES
SWM,M,3,SNOW WC,19960501 0000,19960425 0000,20.80,,INCHES
SWM,M,3,SNOW WC,19960601 0000,19960601 0000,---, ,INCHES
SWM,M,3,SNOW WC,19960701 0000,19960701 0000,---, ,INCHES
SWM,M,3,SNOW WC,19970101 0000,19970101 0000,---, ,INCHES
SWM,M,3,SNOW WC,19970201 0000,19970129 0000,22.70,,INCHES
SWM,M,3,SNOW WC,19970301 0000,19970227 0000,23.50,,INCHES
SWM,M,3,SNOW WC,19970401 0000,19970401 0000,22.10,,INCHES
SWM,M,3,SNOW WC,19970501 0000,19970427 0000,11.80,,INCHES
SWM,M,3,SNOW WC,19970601 0000,19970601 0000,---, ,INCHES
SWM,M,3,SNOW WC,19970701 0000,19970701 0000,---, ,INCHES
SWM,M,3,SNOW WC,19980101 0000,19980101 0000,---, ,INCHES
SWM,M,3,SNOW WC,19980201 0000,19980127 0000,11.80,,INCHES
SWM,M,3,SNOW WC,19980301 0000,19980302 0000,27.40,,INCHES
SWM,M,3,SNOW WC,19980401 0000,19980404 0000,30.10,,INCHES
SWM,M,3,SNOW WC,19980501 0000,19980429 0000,30.80, ,INCHES
SWM,M,3,SNOW WC,19980601 0000,19980601 0000,---, ,INCHES
SWM,M,3,SNOW WC,19980701 0000,19980701 0000,---, ,INCHES
SWM,M,3,SNOW WC,19981001 0000,19981001 0000,---, ,INCHES
SWM,M,3,SNOW WC,19981101 0000,19981101 0000,---, ,INCHES
SWM,M,3,SNOW WC,19981201 0000,19981201 0000,---, ,INCHES
SWM,M,3,SNOW WC,19990101 0000,19990101 0000,---, ,INCHES
SWM,M,3,SNOW WC,19990201 0000,19990202 0000,8.90,r,INCHES
SWM,M,3,SNOW WC,19990301 0000,19990301 0000,---, ,INCHES
SWM,M,3,SNOW WC,19990401 0000,19990329 0000,13.00, ,INCHES
SWM,M,3,SNOW WC,19990501 0000,19990501 0000,---, ,INCHES
SWM,M,3,SNOW WC,19990601 0000,19990601 0000,---, ,INCHES
SWM,M,3,SNOW WC,19990701 0000,19990701 0000,---, ,INCHES
SWM,M,3,SNOW WC,19990801 0000,19990801 0000,---, ,INCHES
SWM,M,3,SNOW WC,19990901 0000,19990901 0000,---, ,INCHES
SWM,M,3,SNOW WC,19991001 0000,19991001 0000,---, ,INCHES
SWM,M,3,SNOW WC,19991101 0000,19991101 0000,---, ,INCHES
SWM,M,3,SNOW WC,19991201 0000,19991201 0000,---, ,INCHES
SWM,M,3,SNOW WC,20000101 0000,20000101 0000,---, ,INCHES
SWM,M,3,SNOW WC,20000201 0000,20000202 0000,11.80, ,INCHES
SWM,M,3,SNOW WC,20000301 0000,20000301 0000,---, ,INCHES
SWM,M,3,SNOW WC,20000401 0000,20000325 0000,22.10, ,INCHES
SWM,M,3,SNOW WC,20000501 0000,20000501 0000,---, ,INCHES
SWM,M,3,SNOW WC,20000601 0000,20000601 0000,---, ,INCHES
SWM,M,3,SNOW WC,20000701 0000,20000701 0000,---, ,INCHES
SWM,M,3,SNOW WC,20000801 0000,20000801 0000,---, ,INCHES
SWM,M,3,SNOW WC,20000901 0000,20000901 0000,---, ,INCHES
SWM,M,3,SNOW WC,20010101 0000,20010101 0000,---, ,INCHES
SWM,M,3,SNOW WC,20010201 0000,20010128 0000,5.90, ,INCHES
SWM,M,3,SNOW WC,20010301 0000,20010301 0000,---, ,INCHES
SWM,M,3,SNOW WC,20010401 0000,20010328 0000,15.20, ,INCHES
SWM,M,3,SNOW WC,20010501 0000,20010501 0000,---, ,INCHES
SWM,M,3,SNOW WC,20010601 0000,20010601 0000,---, ,INCHES
SWM,M,3,SNOW WC,20020101 0000,20020101 0000,---, ,INCHES
SWM,M,3,SNOW WC,20020201 0000,20020130 0000,12.10, ,INCHES
SWM,M,3,SNOW WC,20020301 0000,20020301 0000,---, ,INCHES
SWM,M,3,SNOW WC,20020401 0000,20020325 0000,15.00,r,INCHES
SWM,M,3,SNOW WC,20020501 0000,20020501 0000,---, ,INCHES
