index,Rail transportation
2022-01-01,8800
2022-02-01,9556
2022-03-01,9488
2022-04-01,9794
2022-05-01,10170
2022-06-01,9828
2022-07-01,9807
2022-08-01,9702
2022-09-01,9682
2022-10-01,9843
2022-11-01,9908
2022-12-01,9114
2023-01-01,9978
2023-02-01,9843
2023-03-01,9735
2023-04-01,9744
2023-05-01,9475
2023-06-01,8958
2023-07-01,9266
2023-08-01,9510
2023-09-01,9354
2023-10-01,9339
2023-11-01,9739
2023-12-01,9728
2024-01-01,9284
2024-02-01,9915
2024-03-01,9632
2024-04-01,9686
