index,IMPCH
2011-05-01,32788.071613
2011-06-01,34374.830793
2011-07-01,35152.243254
2011-08-01,37374.136523
2011-09-01,36418.64286
2011-10-01,37824.071703
2011-11-01,36764.911636
2011-12-01,32872.285127
2012-01-01,34417.54042
2012-02-01,28105.186419
2012-03-01,31431.348931
2012-04-01,33016.253834
2012-05-01,34937.829923
2012-06-01,35949.359451
2012-07-01,37930.755206
2012-08-01,37280.629144
2012-09-01,37891.823059
2012-10-01,40257.083524
2012-11-01,39543.693182
2012-12-01,34857.579544
2013-01-01,37193.658803
2013-02-01,32742.677585
2013-03-01,27294.067203
2013-04-01,33131.926306
2013-05-01,36617.62364
2013-06-01,35885.978832
2013-07-01,38800.430628
2013-08-01,39161.299515
2013-09-01,40144.392508
2013-10-01,41845.472131
2013-11-01,40112.279565
2013-12-01,37500.212876
2014-01-01,38377.19956
2014-02-01,30700.352329
2014-03-01,31420.875281
2014-04-01,36450.218795
2014-05-01,38188.13577
2014-06-01,39607.118661
2014-07-01,40319.618346
2014-08-01,40093.817085
2014-09-01,45102.77541
2014-10-01,45335.351722
2014-11-01,42483.529438
2014-12-01,40395.902459
2015-01-01,38589.696731
2015-02-01,31563.988155
2015-03-01,41136.91753
2015-04-01,36121.394467
2015-05-01,39082.029905
2015-06-01,41453.839795
2015-07-01,41215.078176
2015-08-01,44138.055272
2015-09-01,45724.951242
2015-10-01,44309.93252
2015-11-01,41884.774152
2015-12-01,37980.997419
2016-01-01,37126.43412
2016-02-01,36066.892525
2016-03-01,29812.326908
2016-04-01,32920.204539
2016-05-01,37513.726589
2016-06-01,38539.190214
2016-07-01,39438.857738
2016-08-01,43221.774205
2016-09-01,42020.928547
2016-10-01,43798.098424
2016-11-01,42602.631733
2016-12-01,39358.926061
2017-01-01,41335.553396
2017-02-01,32784.957412
2017-03-01,34161.993661
2017-04-01,37441.870879
2017-05-01,41756.844722
2017-06-01,42258.078621
2017-07-01,43561.110857
2017-08-01,45782.311949
2017-09-01,45405.051275
2017-10-01,48133.149629
2017-11-01,48104.793415
2017-12-01,44439.382241
2018-01-01,45681.310362
2018-02-01,38956.173961
2018-03-01,38273.829291
2018-04-01,38227.767574
2018-05-01,43866.578304
2018-06-01,44524.005052
2018-07-01,47009.750007
2018-08-01,47796.194112
2018-09-01,49938.049895
2018-10-01,52081.070497
2018-11-01,46344.570969
2018-12-01,45814.858502
2019-01-01,41302.50818
2019-02-01,33027.758098
2019-03-01,31078.662933
2019-04-01,34499.454932
2019-05-01,39023.881706
2019-06-01,38732.97518
2019-07-01,41237.166159
2019-08-01,40955.642945
2019-09-01,39866.673154
2019-10-01,39794.889454
2019-11-01,36172.914882
2019-12-01,33418.149084
2020-01-01,32944.673286
2020-02-01,22576.609689
2020-03-01,19638.123468
2020-04-01,30730.147843
2020-05-01,36318.738261
2020-06-01,37286.885658
2020-07-01,40469.812982
2020-08-01,40598.942662
2020-09-01,41003.217161
2020-10-01,44654.266193
2020-11-01,44700.409933
2020-12-01,41626.191515
2021-01-01,38835.275419
2021-02-01,33816.75994
2021-03-01,39934.039704
2021-04-01,37371.138998
2021-05-01,38486.525451
2021-06-01,39779.270246
2021-07-01,40290.914463
2021-08-01,42897.843401
2021-09-01,47350.944635
2021-10-01,47873.453886
2021-11-01,48234.758989
2021-12-01,49375.341266
2022-01-01,47674.157983
2022-02-01,42245.83809
2022-03-01,47280.580403
2022-04-01,41732.3836
2022-05-01,43779.036802
2022-06-01,48487.115859
2022-07-01,46571.576655
2022-08-01,50386.763469
2022-09-01,49273.976584
2022-10-01,44671.192909
2022-11-01,36921.592295
2022-12-01,37235.035665
2023-01-01,38180.465386
2023-02-01,30579.241655
2023-03-01,30773.867762
2023-04-01,33021.842535
2023-05-01,35875.016522
2023-06-01,34296.534832
2023-07-01,36086.342727
2023-08-01,36705.300917
2023-09-01,40239.225309
2023-10-01,41556.933141
2023-11-01,35478.105496
2023-12-01,34092.133468
2024-01-01,35793.583054
2024-02-01,31894.796678
2024-03-01,29940.596826
2024-04-01,31630.360595
2024-05-01,35037.005823
2024-06-01,34113.997176
2024-07-01,40836.565873
2024-08-01,39851.199458
