index,SWE
1997-11-01,
1997-12-01,
1998-01-01,
1998-02-01,35.5
1998-03-01,81.25
1998-04-01,81.05
1998-05-01,79.075
1998-06-01,
1998-07-01,
1998-08-01,
1998-09-01,
1998-10-01,
1998-11-01,
1998-12-01,
1999-01-01,
1999-02-01,24.375
1999-03-01,39.225
1999-04-01,53.96666666666667
1999-05-01,43.35
1999-06-01,
1999-07-01,
1999-08-01,
1999-09-01,
1999-10-01,
1999-11-01,
1999-12-01,
2000-01-01,
2000-02-01,19.225
2000-03-01,52.6
2000-04-01,53.9
2000-05-01,48.675
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,15.500000000000002
2001-03-01,37.8
2001-04-01,34.6
2001-05-01,29.9
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,32.300000000000004
2002-03-01,34.733333333333334
2002-04-01,27.575000000000003
2002-05-01,21.625
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,36.93333333333333
2003-03-01,42.75
2003-04-01,44.55
2003-05-01,56.85
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,33.5
2004-03-01,53.2
2004-04-01,46.75
2004-05-01,36.95
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,30.975
2005-03-01,24.8
2005-04-01,44.675
2005-05-01,39.525
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,32.475
2006-03-01,32.4
2006-04-01,45.9
2006-05-01,71.6375
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,10.7625
2007-03-01,18.0
2007-04-01,17.6325
2007-05-01,9.945
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,23.8
2008-03-01,42.25
2008-04-01,45.1775
2008-05-01,32.875
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,6.1
2009-03-01,20.9
2009-04-01,28.75
2009-05-01,15.85
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,
2010-02-01,
2010-03-01,
2010-04-01,24.2
2010-05-01,34.7
2010-06-01,
2010-07-01,
2010-08-01,
2010-09-01,
2010-10-01,
2010-11-01,
2010-12-01,
2011-01-01,
2011-02-01,13.8
2011-03-01,
2011-04-01,39.6
2011-05-01,37.2
2011-06-01,
2011-07-01,
2011-08-01,
2011-09-01,
2011-10-01,
2011-11-01,
2011-12-01,
2012-01-01,
2012-02-01,9.9
2012-03-01,11.3
2012-04-01,33.4
2012-05-01,33.766666666666666
2012-06-01,
2012-07-01,
2012-08-01,
2012-09-01,
2012-10-01,
2012-11-01,
2012-12-01,
2013-01-01,
2013-02-01,23.23333333333333
2013-03-01,20.975
2013-04-01,21.5
2013-05-01,7.866666666666667
2013-06-01,
2013-07-01,
2013-08-01,
2013-09-01,
2013-10-01,
2013-11-01,
2013-12-01,
2014-01-01,
2014-02-01,1.125
2014-03-01,7.375
2014-04-01,4.0
2014-05-01,0.25
2014-06-01,
2014-07-01,
2014-08-01,
2014-09-01,
2014-10-01,
2014-11-01,
2014-12-01,
2015-01-01,
2015-02-01,2.75
2015-03-01,5.375
2015-04-01,1.625
2015-05-01,0.0
2015-06-01,
2015-07-01,
2015-08-01,
2015-09-01,
2015-10-01,
2015-11-01,
2015-12-01,
2016-01-01,
2016-02-01,31.75
2016-03-01,35.0
2016-04-01,34.5
2016-05-01,20.33333333333333
2016-06-01,
2016-07-01,
2016-08-01,
2016-09-01,
2016-10-01,
2016-11-01,
2016-12-01,
2017-01-01,
2017-02-01,26.83333333333333
2017-03-01,42.0
2017-04-01,39.66666666666666
2017-05-01,46.0
2017-06-01,
2017-07-01,
2017-08-01,
2017-09-01,
2017-10-01,
2017-11-01,
2017-12-01,
2018-01-01,
2018-02-01,5.125
2018-03-01,4.5
2018-04-01,9.375
2018-05-01,0.0
2018-06-01,
2018-07-01,
2018-08-01,
2018-09-01,
2018-10-01,
2018-11-01,
2018-12-01,
2019-01-01,
2019-02-01,28.5
2019-03-01,43.5
2019-04-01,60.333333333333336
2019-05-01,36.375
2019-06-01,
2019-07-01,
2019-08-01,
2019-09-01,
2019-10-01,
2019-11-01,
2019-12-01,
2020-01-01,
2020-02-01,16.625
2020-03-01,15.5
2020-04-01,13.0
2020-05-01,3.1666666666666665
2020-06-01,
2020-07-01,
2020-08-01,
2020-09-01,
2020-10-01,
2020-11-01,
2020-12-01,
2021-01-01,15.0
2021-02-01,11.0
2021-03-01,19.625
2021-04-01,22.375
2021-05-01,6.833333333333333
2021-06-01,
2021-07-01,
2021-08-01,
2021-09-01,
2021-10-01,
2021-11-01,
2021-12-01,
2022-01-01,
2022-02-01,12.0
2022-03-01,9.75
2022-04-01,3.0
2022-05-01,0.8333333333333334
2022-06-01,
2022-07-01,
2022-08-01,
2022-09-01,
2022-10-01,
2022-11-01,
2022-12-01,
2023-01-01,
2023-02-01,39.625
2023-03-01,51.0
2023-04-01,63.5
2023-05-01,63.66666666666666
2023-06-01,
2023-07-01,
2023-08-01,
2023-09-01,
2023-10-01,
2023-11-01,
2023-12-01,
2024-01-01,
2024-02-01,20.0
2024-03-01,52.5
2024-04-01,47.375
2024-05-01,41.833333333333336
